date,revenue,product_cost,marketing_expense,operating_expense,shipping_expense,other_expense,gross_profit,operating_profit,profit_margin
2025-01-23,373842.62,195445.01,9190.16,44861.1144,14953.7048,7476.8524,178397.61,101915.77839999998,0.2726167990155857
2025-01-24,364451.95,197239.23,9814.34,43734.234,14578.078000000001,7289.039000000001,167212.72,91797.029,0.25187690448631156
2025-01-25,182598.98,95836.43000000001,14002.779999999999,21911.8776,7303.9592,3651.9796,86762.55,39891.95360000001,0.21846755989546057
2025-01-26,176619.45,96313.43000000001,14419.710000000001,21194.334,7064.778,3532.389,80306.02,34094.808999999994,0.19304107786543323
2025-01-27,280006.44,149938.17,13016.32,33600.7728,11200.2576,5600.1288,130068.26999999999,66650.79079999997,0.23803306381096082
2025-01-28,359772.88,194065.3,12782.880000000001,43172.7456,14390.915200000001,7195.457600000001,165707.58000000002,88165.58160000002,0.2450589983325036
2025-01-29,368029.83,196469.96,13285.84,44163.5796,14721.193200000002,7360.596600000001,171559.87000000002,92028.66060000002,0.25005761244951263
2025-01-30,172489.92,96091.47,13145.81,20698.7904,6899.5968,3449.7984,76398.45000000001,32204.454400000017,0.18670339924790977
2025-01-31,337151.05,183736.96,14513.919999999998,40458.126,13486.042,6743.021,153414.09,78212.981,0.23198201814883865
2025-02-01,222769.97,120999.06,34303.83,26732.396399999998,8910.7988,4455.3994,101770.91,27368.485400000005,0.12285536241711575
2025-02-02,127988.91,70777.66,37700.58,15358.6692,5119.5564,2559.7782,57211.25,-3527.3338000000026,-0.027559683100668662
2025-02-03,296410.88,155917.95,34979.090000000004,35569.3056,11856.4352,5928.2176,140492.93,52159.88160000001,0.17597154868269346
2025-02-04,359408.05,191495.83,34307.61,43128.966,14376.322,7188.161,167912.22,68911.161,0.19173516286015296
2025-02-05,251714.1,144800.61000000002,39428.13,30205.692,10068.564,5034.282,106913.48999999999,22176.821999999993,0.08810321710226003
2025-02-06,294226.61,161479.3,29024.3,35307.193199999994,11769.0644,5884.5322,132747.31,50762.220199999996,0.17252763167818166
2025-02-07,401545.02,213888.81,25570.219999999998,48185.4024,16061.8008,8030.9004,187656.21000000002,89807.88640000003,0.22365583415777396
2025-02-08,122901.3,66217.65,29536.71,14748.155999999999,4916.052000000001,2458.0260000000003,56683.65000000001,5024.706000000009,0.04088407527015588
2025-02-09,205878.15,112279.9,27719.93,24705.377999999997,8235.126,4117.563,93598.25,28820.253000000004,0.13998694373346568
2025-02-10,387031.37,213087.98,21406.62,46443.7644,15481.2548,7740.6274,173943.38999999998,82871.1234,0.21411991332898933
2025-02-11,288144.06,146727.04,24283.45,34577.2872,11525.7624,5762.8812,141417.02,65267.639199999976,0.22651044481014107
2025-02-12,257933.43,141356.47,0.0,30952.011599999998,10317.3372,5158.6686,116576.95999999999,70148.9426,0.27196529972869354
2025-02-13,367101.38,197228.66,8203.03,44052.1656,14684.0552,7342.0276,169872.72,95591.44159999999,0.2603952118077028
2025-02-14,309209.87,172190.34,7844.24,37105.1844,12368.3948,6184.1974,137019.53,73517.5134,0.23775927139712583
2025-02-15,172263.07,92835.88,7847.54,20671.5684,6890.522800000001,3445.2614000000003,79427.19,40572.2974,0.2355252196538701
2025-02-16,201758.44,107417.42,6847.44,24211.0128,8070.3376,4035.1688,94341.02,51177.06080000001,0.25365511747612646
2025-02-17,300404.98,162432.04,7239.96,36048.597599999994,12016.1992,6008.0996,137972.93999999997,76660.08359999997,0.2551891236956191
2025-02-18,323512.91,176734.63,7449.36,38821.549199999994,12940.516399999999,6470.258199999999,146778.27999999997,81096.5962,0.25067499222828543
2025-02-19,284680.79,154813.6,22835.57,34161.6948,11387.2316,5693.6158,129867.18999999997,55789.07779999997,0.1959706441730753
2025-02-20,307201.22,170753.46,24750.6,36864.1464,12288.048799999999,6144.024399999999,136447.75999999998,56400.94039999998,0.18359608207285108
2025-02-21,352481.09,186944.62,22981.14,42297.730800000005,14099.243600000002,7049.621800000001,165536.47000000003,79108.73380000002,0.22443397970654258
2025-02-22,197100.3,109535.38,24262.96,23652.035999999996,7884.012,3942.006,87564.91999999998,27823.905999999984,0.14116622856484737
2025-02-23,158515.01,86233.81999999999,23205.69,19021.8012,6340.6004,3170.3002,72281.19000000002,20542.798200000012,0.12959528690689928
2025-02-24,390598.75,214386.37,41085.62,46871.85,15623.95,7811.975,176212.38,64818.98500000001,0.16594775328902103
2025-02-25,333822.33,184271.03,33306.67,40058.6796,13352.8932,6676.4466,149551.30000000002,56156.610600000015,0.16822305026748813
2025-02-26,311182.32,165177.92,32299.910000000003,37341.8784,12447.292800000001,6223.6464000000005,146004.4,57691.67239999999,0.18539508414231243
2025-02-27,317089.86,168395.54,32271.27,38050.7832,12683.5944,6341.7972,148694.31999999998,59346.87519999998,0.18716106279778225
2025-02-28,375798.46,207162.73,31048.41,45095.8152,15031.938400000001,7515.9692000000005,168635.73,69943.5972,0.18611996760178315
2025-03-01,216752.42,117841.19,33712.34,26010.2904,8670.096800000001,4335.048400000001,98911.23000000001,26183.454400000017,0.12079890226831154
2025-03-02,251377.38,135779.16,33623.16,30165.2856,10055.0952,5027.5476,115598.22,36727.1316,0.14610356588170342
2025-03-03,355271.13,190390.94,32684.04,42632.535599999996,14210.8452,7105.4226,164880.19,68247.34659999999,0.19209933157248096
2025-03-04,284458.22,154170.54,35003.979999999996,34134.986399999994,11378.3288,5689.1644,130287.67999999996,44081.22039999997,0.1549655355362906
2025-03-05,456935.61,252601.6,33512.18,54832.273199999996,18277.4244,9138.7122,204334.00999999998,88573.4202,0.19384223567079834
2025-03-06,339662.91,183941.89,30073.059999999998,40759.549199999994,13586.516399999999,6793.258199999999,155721.01999999996,64508.63619999998,0.1899195770300619
2025-03-07,245580.15,132007.73,28447.2,29469.618,9823.206,4911.603,113572.41999999998,40920.79299999998,0.16662907405179117
2025-03-08,255020.33,136239.12,31469.11,30602.439599999998,10200.8132,5100.4066,118781.20999999999,41408.44059999999,0.1623730962939307
2025-03-09,191150.91,106313.01,14503.42,22938.1092,7646.0364,3823.0182,84837.90000000001,35927.316200000016,0.18795262967882295
2025-03-10,325923.55,174959.79,15418.57,39110.825999999994,13036.942,6518.471,150963.75999999998,76878.95099999997,0.23588031917300845
2025-03-11,425841.35,227819.56,14363.18,51100.96199999999,17033.654,8516.827,198021.78999999998,107007.16699999999,0.2512841155514841
2025-03-12,321021.86,169021.18,15177.95,38522.623199999995,12840.8744,6420.4372,152000.68,79038.79519999998,0.24621000949904154
2025-03-13,337865.6,178382.29,13409.21,40543.871999999996,13514.624,6757.312,159483.30999999997,85258.29199999997,0.2523438077152571
2025-03-14,343521.54,185361.98,14705.81,41222.5848,13740.8616,6870.4308,158159.55999999997,81619.87279999997,0.2375975398806141
2025-03-15,219935.46,119656.5,14295.29,26392.2552,8797.4184,4398.7092,100278.95999999999,46395.287199999984,0.21094955401916538
2025-03-16,179079.72,98369.48,13581.15,21489.5664,7163.1888,3581.5944,80710.24,34894.74040000001,0.19485590216468962
2025-03-17,339711.73,178730.36,13848.37,40765.4076,13588.4692,6794.2346,160981.37,85984.8886,0.2531113323640606
2025-03-18,297243.01,161101.37,14656.09,35669.1612,11889.7204,5944.8602,136141.64,67981.80820000001,0.22870784480348255
2025-03-19,275562.14,151522.82,13715.34,33067.4568,11022.4856,5511.2428,124039.32,60722.79480000001,0.22035971559808618
2025-03-20,309837.15,162663.94,13145.89,37180.458,12393.486,6196.743,147173.21000000002,78256.633,0.25257343414112865
2025-03-21,353975.93,193412.55,12922.26,42477.1116,14159.0372,7079.5186,160563.38,83925.45259999999,0.23709367074761267
2025-03-22,170646.75,88587.69,14672.19,20477.61,6825.87,3412.935,82059.06,36670.454999999994,0.2148910248803449
2025-03-23,250999.43,138222.2,13176.98,30119.931599999996,10039.9772,5019.9886,112777.22999999998,54420.35259999999,0.21681464615278206
2025-03-24,396420.93,223138.01,14299.82,47570.5116,15856.8372,7928.4186,173282.91999999998,87627.33259999998,0.22104618088656414
2025-03-25,300691.6,158202.27,14124.14,36082.992,12027.663999999999,6013.831999999999,142489.33,74240.70199999999,0.2468998202809789
2025-03-26,417975.84,219241.16,15032.82,50157.1008,16719.033600000002,8359.516800000001,198734.68000000002,108466.20880000004,0.2595035368551446
2025-03-27,324661.33,175180.33,0.0,38959.3596,12986.453200000002,6493.226600000001,149481.00000000003,91041.96060000003,0.2804213258166596
2025-03-28,327808.15,175252.36,0.0,39336.978,13112.326000000001,6556.1630000000005,152555.79000000004,93550.32300000003,0.2853813213612902
2025-03-29,187087.64,100238.69,0.0,22450.5168,7483.5056,3741.7528,86848.95000000001,53173.17480000001,0.2842153271055213
2025-03-30,188314.34,99058.2,0.0,22597.7208,7532.5736,3766.2868,89256.14,55359.5588,0.29397420716871586
2025-03-31,237540.42,124692.76,0.0,28504.8504,9501.616800000002,4750.808400000001,112847.66000000002,70090.38440000002,0.29506719067011844
2025-04-01,375948.67,200614.68,0.0,45113.840399999994,15037.9468,7518.9734,175333.99,107663.2294,0.2863774711584962
2025-04-02,372380.97,199774.28,0.0,44685.7164,14895.2388,7447.6194,172606.68999999997,105578.11539999998,0.2835217798589439
2025-04-03,401976.56,211479.71,41783.83,48237.1872,16079.0624,8039.5312,190496.85,76357.23920000003,0.18995445704595318
2025-04-04,405858.32,216628.99,34795.8,48702.9984,16234.3328,8117.1664,189229.33000000002,81379.03240000003,0.2005109379056219
2025-04-05,200502.81,106941.05,38421.46,24060.337199999998,8020.1124,4010.0562,93561.76,19049.794199999997,0.09501011083086565
2025-04-06,214743.86,116835.7,37802.45,25769.263199999998,8589.7544,4294.8772,97908.15999999999,21451.815199999994,0.0998948943173509
2025-04-07,351801.25,188042.74,41763.64,42216.15,14072.050000000001,7036.025000000001,163758.51,58670.645,0.16677213341339747
2025-04-08,296737.82,161236.53,40122.71,35608.5384,11869.5128,5934.7564,135501.29,41965.772400000016,0.14142374032403424
2025-04-09,284202.05,151849.98,38078.17,34104.246,11368.082,5684.041,132352.06999999998,43117.53099999998,0.15171435603648878
2025-04-10,254222.33,136677.85,38511.89,30506.679599999996,10168.8932,5084.4466,117544.47999999998,33272.570599999985,0.130879811383996
2025-04-11,395021.27,216580.13999999998,58221.91,47402.5524,15800.850800000002,7900.425400000001,178441.13000000003,49115.39140000003,0.12433606777680611
2025-04-12,230957.64,127211.88,64646.97,27714.9168,9238.305600000002,4619.152800000001,103745.76000000001,-2473.585199999993,-0.01071012502552413
2025-04-13,188538.2,99307.41,27703.75,22624.584,7541.528,3770.764,89230.79000000001,27590.164000000008,0.14633726215695284
2025-04-14,410940.85,215626.44,29565.23,49312.901999999995,16437.634,8218.817,195314.40999999997,91779.82699999998,0.22334072409691075
2025-04-15,443377.7,238062.43,29353.44,53205.324,17735.108,8867.554,205315.27000000002,96153.84400000001,0.21686666695235238
2025-04-16,365264.36,194709.99,28836.79,43831.72319999999,14610.5744,7305.2872,170554.37,75969.99519999999,0.20798633406226655
2025-04-17,302172.44,172026.4,26897.300000000003,36260.6928,12086.8976,6043.4488,130146.04000000001,48857.700800000006,0.16168814336608595
2025-04-18,474544.16,257837.9,29207.79,56945.299199999994,18981.7664,9490.8832,216706.25999999998,102080.52119999997,0.21511279624640198
2025-04-19,247533.15,137870.06,30470.1,29703.978,9901.326,4950.663,109663.09,34637.02299999999,0.13992882569465942
2025-04-20,149434.52,79145.62,27711.18,17932.142399999997,5977.3808,2988.6904,70288.9,15679.506399999998,0.10492559818173204
2025-04-21,319714.79,170434.52,42510.57,38365.7748,12788.5916,6394.2958,149280.27,49221.037799999984,0.15395295851030222
2025-04-22,294616.74,158781.95,41085.42,35354.008799999996,11784.6696,5892.3348,135834.78999999998,41718.35679999999,0.14160212620640628
2025-04-23,433940.89,234168.84,78251.01,52072.9068,17357.6356,8678.8178,199772.05000000002,43411.67980000003,0.10004053731834311
2025-04-24,377367.55,205533.9,78333.33,45284.106,15094.702,7547.351,171833.65,25574.160999999996,0.06776989966413381
2025-04-25,344973.9,189093.47,78576.73,41396.868,13798.956000000002,6899.478000000001,155880.43000000002,15208.398000000021,0.044085648218604424
2025-04-26,325732.87,182032.13999999998,76163.84,39087.9444,13029.3148,6514.6574,143700.73,8904.973400000013,0.02733827077383997
2025-04-27,209880.89,117374.68,70274.34999999999,25185.7068,8395.2356,4197.6178,92506.21000000002,-15546.70019999997,-0.07407391973609398
2025-04-28,313000.63,172551.13999999998,64677.79,37560.0756,12520.0252,6260.0126,140449.49000000002,19431.586600000017,0.062081621369260556
2025-04-29,338752.95,179625.69,46808.369999999995,40650.354,13550.118,6775.059,159127.26,51343.35900000002,0.1515657915303764
2025-04-30,340906.71,183634.88999999998,52819.03,40908.8052,13636.2684,6818.1342,157271.82000000004,43089.58220000003,0.1263969905432487
2025-05-01,276342.0,150934.91,51765.479999999996,33161.04,11053.68,5526.84,125407.09,23900.05,0.08648721511749932
2025-05-02,417237.92,222867.7,51723.44,50068.55039999999,16689.5168,8344.7584,194370.21999999997,67543.95439999997,0.16188354692210136
2025-05-03,204016.16999999998,112675.39,49263.28999999999,24481.940399999996,8160.6467999999995,4080.3233999999998,91340.77999999998,5354.579399999997,0.0262458578650898
2025-05-04,225314.54,120108.33,51746.3,27037.7448,9012.581600000001,4506.290800000001,105206.21,12903.292800000001,0.05726791000705059
2025-05-05,377772.26,201713.91,53205.24,45332.6712,15110.8904,7555.4452,176058.35,54854.10320000001,0.14520415871721234
2025-05-06,382614.27,205523.44,36588.44,45913.712400000004,15304.570800000001,7652.285400000001,177090.83000000002,71631.82140000002,0.18721680558333595
2025-05-07,425636.24,221694.02,35767.75,51076.3488,17025.4496,8512.7248,203942.22,91559.9468,0.21511313698288476
2025-05-08,394237.02,211071.28,39423.92,47308.4424,15769.480800000001,7884.740400000001,183165.74000000002,72779.1564,0.18460761599709738
2025-05-09,384115.34,200361.99,47011.45,46093.8408,15364.6136,7682.3068,183753.35000000003,67601.13880000002,0.17599177059682128
2025-05-10,222611.0,117157.22,47052.5,26713.32,8904.44,4452.22,105453.78,18331.299999999996,0.08234678430086562
2025-05-11,279358.95,160332.22,47878.52,33523.074,11174.358,5587.179,119026.73000000001,20863.59900000002,0.0746838395548094
2025-05-12,426271.92,227940.04,34755.159999999996,51152.630399999995,17050.8768,8525.4384,198331.87999999998,86847.77439999998,0.20373796707040892
2025-05-13,473855.62,250418.13,11949.85,56862.674399999996,18954.2248,9477.1124,223437.49,126193.6284,0.26631240207724033
2025-05-14,367860.22000000003,193536.26,12429.01,44143.2264,14714.408800000001,7357.2044000000005,174323.96000000002,95680.1104,0.2600990952487333
2025-05-15,290899.27,160007.55,12519.890000000001,34907.9124,11635.970800000001,5817.9854000000005,130891.72000000003,66009.96140000003,0.22691690288531843
2025-05-16,350767.71,189156.24,12169.880000000001,42092.1252,14030.708400000001,7015.354200000001,161611.47000000003,86303.40220000001,0.24604146772803007
2025-05-17,247251.02,133550.66,11746.64,29670.122399999997,9890.0408,4945.0204,113700.35999999999,57448.53639999999,0.23234903702318394
2025-05-18,194542.04,104409.02,11075.640000000001,23345.0448,7781.681600000001,3890.8408000000004,90133.02,44039.8128,0.2263768427636515
2025-05-19,446034.19,240056.32,11892.96,53524.1028,17841.3676,8920.6838,205977.87,113798.75580000001,0.25513460257385207
2025-05-20,439082.09,237448.2,8981.91,52689.8508,17563.283600000002,8781.641800000001,201633.89,113617.20380000003,0.2587607337844275
2025-05-21,361365.67,202558.56,8884.96,43363.880399999995,14454.6268,7227.3134,158807.11,84876.3294,0.23487657087071942
2025-05-22,396467.25,211130.33,8099.87,47576.07,15858.69,7929.345,185336.92,105872.945,0.26704083376369675
2025-05-23,456870.12,246291.32,8303.05,54824.414399999994,18274.8048,9137.4024,210578.8,120039.12839999999,0.26274234874454033
2025-05-24,250987.04,133121.24,8444.81,30118.4448,10039.481600000001,5019.7408000000005,117865.80000000002,64243.32280000002,0.25596270946898303
2025-05-25,269124.48,144586.44999999998,8517.5,32294.937599999997,10764.9792,5382.4896,124538.03,67578.12359999999,0.2511035919140466
2025-05-26,332646.48,182954.41,9049.38,39917.5776,13305.859199999999,6652.9295999999995,149692.06999999998,80766.32359999997,0.24279927327053025
2025-05-27,505219.89,273212.73,9766.52,60626.3868,20208.7956,10104.3978,232007.16000000003,131301.05980000002,0.2598889362807945
2025-05-28,444274.18,234361.13,8336.67,53312.9016,17770.9672,8885.4836,209913.05,121607.02759999997,0.27372067312126935
2025-05-29,400775.75,214934.67,9745.13,48093.09,16031.03,8015.515,185841.08,103956.31499999999,0.25938773740676674
2025-05-30,394914.11,209404.67,9448.21,47389.693199999994,15796.5644,7898.2822,185509.43999999997,104976.69019999998,0.26582157370877424
2025-05-31,298823.1,161961.27,0.0,35858.772,11952.923999999999,5976.4619999999995,136861.83,83073.67199999999,0.2780028451615688
2025-06-01,271983.59,147681.02,0.0,32638.0308,10879.343600000002,5439.671800000001,124302.57000000004,75345.52380000002,0.27702231520659026
2025-06-02,430817.26,234987.75,25006.86,51698.0712,17232.6904,8616.3452,195829.51,93275.54320000003,0.21650837108986773
2025-06-03,390275.12,209514.55,28277.68,46833.0144,15611.0048,7805.5024,180760.57,82233.36840000002,0.2107061510864439
2025-06-04,345682.01,185070.74,29597.01,41481.8412,13827.280400000001,6913.640200000001,160611.27000000002,68791.49820000002,0.19900225123083498
2025-06-05,288463.62,161300.38,26653.03,34615.634399999995,11538.5448,5769.2724,127163.23999999999,48586.75839999999,0.16843288037500184
2025-06-06,400930.86,212457.06,28469.68,48111.703199999996,16037.2344,8018.6172,188473.8,87836.56520000001,0.21908157730736919
2025-06-07,260049.55,144635.05,42969.35,31205.945999999996,10401.982,5200.991,115414.5,25636.231,0.09858210098806171
2025-06-08,241583.24,132365.86,38955.39,28989.9888,9663.3296,4831.6648,109217.38,26777.00680000001,0.11083967083146998
2025-06-09,366526.13,195535.57,39456.09,43983.1356,14661.0452,7330.5226,170990.56,65559.7666,0.17886792027624335
2025-06-10,450733.89,247023.27,37198.74,54088.0668,18029.355600000003,9014.677800000001,203710.62000000002,85379.77980000002,0.18942391884488655
2025-06-11,414488.45,229177.84,40613.43,49738.614,16579.538,8289.769,185310.61000000002,70089.25900000002,0.16909821974532707
2025-06-12,407875.6,218916.58,37721.18,48945.07199999999,16315.024,8157.512,188959.02,77820.232,0.19079403622084776
2025-06-13,366663.05,197134.29,39214.130000000005,43999.566,14666.521999999999,7333.2609999999995,169528.75999999998,64315.28099999999,0.1754070419694594
2025-06-14,286108.52,160054.54,43378.86,34333.0224,11444.340800000002,5722.170400000001,126053.98000000001,31175.5864,0.10896420141560272
2025-06-15,293937.65,159188.8,14058.5,35272.518000000004,11757.506000000001,5878.753000000001,134748.85000000003,67781.57300000003,0.23059847215897666
2025-06-16,437540.38,235430.25,13662.85,52504.8456,17501.6152,8750.8076,202110.13,109690.0116,0.25069688790780864
2025-06-17,387576.44,212454.31,11836.03,46509.1728,15503.0576,7751.5288,175122.13,93522.3408,0.24130037625610062
2025-06-18,299825.58,157081.48,11785.76,35979.0696,11993.023200000001,5996.511600000001,142744.1,76989.73560000001,0.25678174490648864
2025-06-19,425218.37,225554.02,13031.13,51026.204399999995,17008.7348,8504.3674,199664.35,110093.9134,0.25891147035815976
2025-06-20,470732.79,251537.8,13736.75,56487.934799999995,18829.3116,9414.6558,219194.99,120726.33780000001,0.25646468732292904
2025-06-21,297198.89,165541.54,11959.24,35663.8668,11887.955600000001,5943.977800000001,131657.35,66202.30979999999,0.22275422966754682
2025-06-22,269827.28,143302.42,0.0,32379.2736,10793.0912,5396.5456,126524.86000000002,77955.94960000002,0.28891055641223534
2025-06-23,481830.17,258266.65,0.0,57819.62039999999,19273.2068,9636.6034,223563.52,136834.08940000003,0.28398821393853363
2025-06-24,353402.25,193318.4,0.0,42408.27,14136.09,7068.045,160083.85,96471.44500000002,0.2729791476992578
2025-06-25,520988.78,277646.45,0.0,62518.6536,20839.5512,10419.7756,243342.33000000002,149564.34960000002,0.2870778706597098
2025-06-26,409310.82,225235.84,0.0,49117.2984,16372.4328,8186.2164,184074.98,110399.03240000001,0.26971931110934233
2025-06-27,468499.31,264957.52999999997,0.0,56219.917199999996,18739.9724,9369.9862,203541.78000000003,119211.90420000003,0.2544548127509516
2025-06-28,257003.66,140452.99,23234.99,30840.4392,10280.1464,5140.0732,116550.67000000001,47055.02120000001,0.183090860262457
2025-06-29,238020.31,129253.97,24713.91,28562.4372,9520.8124,4760.4062,108766.34,41208.77419999999,0.17313133572508999
2025-06-30,449327.55,240217.72,23378.62,53919.306,17973.102,8986.551,209109.83,104852.25099999999,0.23335371045020495
2025-07-01,426445.31,234929.53,20673.24,51173.4372,17057.8124,8528.9062,191515.78,94082.38420000001,0.2206200466831257
2025-07-02,412473.13,220983.67,23577.88,49496.7756,16498.9252,8249.4626,191489.46,93666.4166,0.227084893020789
2025-07-03,407648.38,223813.03,21579.07,48917.8056,16305.9352,8152.9676,183835.35,88879.5716,0.21802998849155245
2025-07-04,385496.84,205978.74,22284.69,46259.620800000004,15419.8736,7709.9368,179518.10000000003,87843.97880000003,0.2278721112214565
2025-07-05,274701.52999999997,149386.26,23455.96,32964.1836,10988.061199999998,5494.030599999999,125315.26999999996,52413.034599999984,0.19079993693518923
2025-07-06,226742.61,122485.54,24234.15,27209.113199999996,9069.7044,4534.8522,104257.06999999999,39209.25019999999,0.17292404899105637
2025-07-07,543697.43,282900.23,21067.16,65243.691600000006,21747.897200000003,10873.948600000002,260797.20000000007,141864.50260000007,0.2609254610602078
2025-07-08,355457.44,193152.97999999998,21351.73,42654.8928,14218.2976,7109.1488,162304.46000000002,76970.39080000001,0.21653897805599456
2025-07-09,502136.9,278008.2,24486.65,60256.428,20085.476000000002,10042.738000000001,224128.7,109257.40800000004,0.21758490164733968
2025-07-10,441073.78,238281.24,24719.11,52928.8536,17642.951200000003,8821.475600000002,202792.54000000004,98680.14960000003,0.2237270816687404
2025-07-11,455381.61,250715.26,34746.49,54645.79319999999,18215.2644,9107.6322,204666.34999999998,87951.1702,0.19313729028275867
2025-07-12,168702.63,89581.53,34968.04,20244.315599999998,6748.1052,3374.0526,79121.1,13786.586600000006,0.08172123102052413
2025-07-13,217337.11,115576.25,36531.55,26080.453199999996,8693.4844,4346.7422,101760.85999999999,26108.630199999985,0.12012964652009953
2025-07-14,339198.9,180775.07,35114.87,40703.868,13567.956000000002,6783.978000000001,158423.83000000002,62253.15800000001,0.18352995248510537
2025-07-15,417588.0,218868.95,36046.99,50110.56,16703.52,8351.76,198719.05,87506.22,0.20955156757378085
2025-07-16,421355.34,227846.35,35618.03,50562.6408,16854.213600000003,8427.106800000001,193508.99000000002,82046.99880000003,0.19472163044142274
2025-07-17,409301.23,220793.16999999998,11343.24,49116.1476,16372.0492,8186.0246,188508.06,103490.59860000001,0.25284702564905565
2025-07-18,466551.02,247423.5,11498.38,55986.1224,18662.040800000002,9331.020400000001,219127.52000000002,123649.9564,0.26502987047375864
2025-07-19,338866.2,177668.27,11747.05,40663.944,13554.648000000001,6777.3240000000005,161197.93000000002,88454.96400000004,0.2610321241835274
2025-07-20,287427.83,159113.61,10922.74,34491.3396,11497.113200000002,5748.556600000001,128314.22000000003,65654.47060000003,0.2284207155584065
2025-07-21,460373.92,245640.32,11159.58,55244.87039999999,18414.9568,9207.4784,214733.59999999998,120706.7144,0.2621927723447062
2025-07-22,509918.62,279463.76,37562.34,61190.234399999994,20396.7448,10198.3724,230454.86,101107.1684,0.1982809892292225
2025-07-23,400219.33,217168.96,36685.41,48026.3196,16008.773200000001,8004.386600000001,183050.37000000002,74325.48060000002,0.18571187103831296
2025-07-24,410039.02,222340.41999999998,39289.11,49204.6824,16401.5608,8200.7804,187698.60000000003,74602.46640000005,0.18193991976666038
2025-07-25,452560.38,248827.88999999998,37432.46,54307.2456,18102.4152,9051.2076,203732.49000000002,84839.16160000004,0.18746484524341267
2025-07-26,314807.07,170148.87,46873.58,37776.8484,12592.2828,6296.1414,144658.2,41119.347400000006,0.13061761097042707
2025-07-27,257258.64,139776.68,46607.45,30871.0368,10290.3456,5145.1728,117481.96000000002,24567.95480000002,0.09549904640714893
2025-07-28,396055.06,215285.55,45316.89,47526.6072,15842.2024,7921.1012,180769.51,64162.709200000005,0.1620045182606681
2025-07-29,416326.58,217675.54,46738.729999999996,49959.1896,16653.0632,8326.5316,198651.04,76973.5256,0.18488736798885141
2025-07-30,420764.96,223685.6,49318.19,50491.7952,16830.598400000003,8415.299200000001,197079.36000000002,72023.47720000002,0.17117270696685394
2025-07-31,436560.11,236761.1,46776.97,52387.2132,17462.4044,8731.2022,199799.00999999998,74441.22019999998,0.17051768701450984
2025-08-01,449015.09,245532.07,46263.66,53881.8108,17960.603600000002,8980.301800000001,203483.02000000002,76396.6438,0.17014270901229622
