order_id,customer_id,order_date,order_status,payment_method,discount_amount,shipping_cost
O000110,C01204,2026-06-01,Completed,Credit Card,90.81,113.66
O000111,C01970,2025-05-19,Completed,UPI,137.61,74.5
O000112,C07738,2026-05-31,Completed,Credit Card,74.67,44.91
O000113,C08927,2026-08-20,Completed,UPI,65.68,106.48
O000114,C08142,2025-10-10,Completed,Credit Card,4.16,137.99
O000115,C05652,2026-08-07,Completed,COD,75.22,56.72
O000116,C09948,2026-01-25,Completed,COD,131.69,116.32
O000117,C00705,2025-08-12,Completed,UPI,149.36,144.76
O000119,C04294,2026-07-29,Completed,UPI,80.41,51.26
O000120,C04564,2025-08-31,In Transit,UPI,62.62,129.56
O000121,C01285,2026-08-07,Completed,UPI,52.98,130.74
O000122,C00350,2026-08-14,Completed,UPI,74.67,119.77
O000123,C03204,2026-03-14,Completed,UPI,100.18,107.89
O000124,C01779,2026-06-18,Completed,Credit Card,22.97,143.66
O000126,C01487,2025-03-18,Completed,UPI,73.95,140.54
O000127,C01384,2026-07-07,Completed,Credit Card,71.49,96.57
O000128,C08796,2025-04-04,Completed,Credit Card,2.23,132.86
O000129,C09230,2025-10-02,Completed,UPI,40.37,84.31
O000130,C09650,2026-05-25,Returned,Debit Card,145.0,45.61
O000131,C06823,2026-07-21,Completed,UPI,47.98,75.88
O000132,C07734,2026-01-25,Completed,UPI,74.93,121.66
O000133,C08387,2026-06-09,Completed,Credit Card,169.49,102.51
O000134,C06618,2026-04-29,Completed,COD,60.7,124.08
O000135,C03335,2025-09-01,Completed,UPI,25.8,79.5
O000136,C01576,2026-05-21,Completed,Debit Card,42.51,124.81
O000137,C02402,2025-12-25,Completed,UPI,145.52,101.76
O000138,C08433,2026-01-14,In Transit,COD,9.71,121.29
O000139,C06988,2025-10-31,Completed,Credit Card,5.04,141.75
O000140,C04569,2025-07-18,Completed,UPI,101.71,50.12
O000141,C00307,2025-12-12,Completed,Credit Card,84.09,122.97
O000142,C02701,2026-03-05,Completed,Credit Card,57.3,63.13
O000144,C05129,2026-08-04,Completed,Debit Card,31.73,56.56
O000145,C04364,2026-07-15,Completed,UPI,42.0,40.73
O000147,C06086,2026-07-23,Completed,Credit Card,47.14,120.64
O000148,C09675,2026-07-31,Completed,COD,141.64,132.49
O000149,C09036,2026-05-28,Completed,COD,1.43,78.45
O000150,C00322,2026-08-05,Completed,Debit Card,24.43,126.03
O000151,C04824,2025-06-22,Completed,Credit Card,27.2,55.62
O000152,C03328,2026-06-08,In Transit,Credit Card,106.12,51.85
O000153,C05110,2026-07-07,Completed,UPI,152.77,59.27
O000154,C06078,2026-07-23,Returned,UPI,22.21,142.33
O000155,C02040,2025-10-08,Completed,Credit Card,41.38,90.83
O000156,C07849,2026-08-30,Completed,Debit Card,179.47,79.23
O000157,C04768,2025-07-28,In Transit,Credit Card,91.34,135.63
O000158,C09926,2025-04-20,Completed,UPI,23.36,103.77
O000159,C00260,2026-06-24,Completed,UPI,18.38,63.11
O000161,C06917,2026-08-11,Returned,UPI,42.79,72.96
O000162,C06980,2026-07-13,Completed,Credit Card,49.83,78.26
O000163,C05835,2026-06-17,Completed,UPI,32.36,104.04
O000164,C09728,2026-05-04,Completed,COD,44.09,60.05
O000165,C04178,2026-08-06,In Transit,UPI,127.89,108.81
O000166,C04191,2025-06-23,Completed,UPI,5.65,112.97
O000167,C09131,2026-03-30,Completed,UPI,4.32,99.49
O000168,C05402,2026-01-18,In Transit,Credit Card,140.07,100.34
O000169,C03574,2025-05-06,Completed,Debit Card,51.16,117.41
O000170,C07220,2026-04-20,Returned,Credit Card,74.43,88.21
O000171,C06212,2026-02-12,Completed,UPI,100.09,49.82
O000172,C03106,2025-09-20,Completed,UPI,42.45,78.47
O000173,C03024,2025-10-20,Completed,UPI,111.37,81.02
O000174,C03981,2026-05-22,Completed,UPI,83.36,108.19
O000175,C00730,2026-07-06,Completed,UPI,4.39,118.8
O000176,C09442,2026-01-27,Completed,Credit Card,19.03,82.79
O000177,C01870,2026-08-05,Completed,UPI,7.98,72.6
O000178,C01983,2026-07-29,In Transit,Debit Card,13.12,141.39
O000179,C06498,2026-03-02,Completed,Credit Card,38.66,40.17
O000180,C07268,2026-02-28,In Transit,UPI,72.85,128.31
O000181,C07400,2026-02-13,Completed,UPI,18.29,124.15
O000182,C03779,2026-06-13,Completed,Debit Card,49.56,116.38
O000183,C08766,2026-04-18,Completed,Credit Card,113.56,69.8
O000185,C04395,2026-04-10,Completed,UPI,80.31,92.4
O000186,C08138,2026-08-21,Completed,UPI,7.35,144.65
O000187,C02464,2025-09-29,Completed,COD,92.65,112.36
O000188,C08641,2025-09-30,Completed,UPI,4.09,65.85
O000189,C05408,2026-08-26,Completed,Credit Card,26.85,80.58
O000191,C02060,2026-06-21,Completed,UPI,6.59,96.02
O000192,C09381,2026-04-24,Completed,Credit Card,62.06,123.5
O000193,C06900,2025-10-20,Returned,COD,134.35,58.1
O000194,C06200,2026-06-18,Completed,Credit Card,131.93,86.51
O000195,C04239,2025-09-29,Completed,Debit Card,90.77,132.94
O000196,C09576,2025-08-10,Completed,COD,44.64,119.65
O000198,C04993,2026-07-06,Completed,Credit Card,76.02,45.47
O000199,C07849,2026-06-27,Completed,Credit Card,6.33,122.13
O000200,C02887,2026-08-30,In Transit,COD,109.76,128.01
O000201,C02958,2025-06-09,In Transit,Credit Card,39.27,139.55
O000202,C07782,2025-11-11,Completed,Credit Card,63.28,86.18
O000204,C08263,2025-07-15,Completed,COD,122.85,145.06
O000206,C05409,2025-09-04,Completed,COD,11.68,140.06
O000207,C02325,2026-08-15,Completed,COD,42.99,140.83
O000208,C07898,2025-01-24,Completed,UPI,76.84,143.08
O000209,C08082,2026-08-06,Completed,UPI,88.62,123.4
O000210,C04844,2026-06-10,Completed,Debit Card,93.74,111.58
O000211,C03920,2025-11-01,Completed,UPI,74.51,54.95
O000213,C07562,2026-03-25,Completed,UPI,78.16,112.31
O000214,C06418,2025-12-16,Completed,Credit Card,114.64,55.0
O000216,C07989,2026-07-30,In Transit,COD,132.98,125.45
O000217,C08849,2025-11-08,Completed,UPI,133.64,144.95
O000218,C00610,2025-10-03,Completed,UPI,48.63,103.6
O000219,C07750,2025-06-18,Completed,Debit Card,104.55,127.13
O000220,C08561,2025-04-06,In Transit,UPI,78.19,121.65
O000221,C09921,2026-06-02,Completed,Debit Card,51.25,107.15
O000222,C02405,2026-06-03,Completed,Debit Card,66.35,95.33
O000223,C03738,2026-07-23,Completed,UPI,58.75,67.29
O000224,C09674,2025-03-27,In Transit,Credit Card,110.87,82.25
O000226,C05241,2026-08-11,Completed,UPI,65.87,144.99
O000227,C05070,2026-08-06,Completed,COD,72.68,88.26
O000228,C06081,2025-11-03,Completed,UPI,46.02,116.47
O000230,C09278,2026-07-16,Completed,Debit Card,49.82,126.57
O000231,C02740,2025-12-13,Completed,UPI,128.54,61.37
O000232,C06528,2026-01-19,In Transit,Debit Card,80.06,141.14
O000233,C04964,2026-04-09,Completed,Credit Card,137.8,59.09
O000234,C02705,2025-09-29,Completed,Debit Card,84.06,41.62
O000235,C01930,2026-04-26,Completed,UPI,146.39,99.06
O000236,C09579,2026-07-12,Completed,Credit Card,82.96,46.19
O000237,C05631,2026-01-06,Completed,Credit Card,132.25,59.86
O000238,C06059,2025-10-10,Completed,COD,46.13,139.52
O000239,C07866,2025-12-10,Completed,Credit Card,57.23,55.05
O000240,C00827,2025-04-29,Completed,UPI,43.62,130.39
O000241,C07167,2026-07-27,Completed,Credit Card,176.1,128.34
O000242,C01672,2026-05-18,Completed,UPI,127.23,113.07
O000243,C07436,2025-09-25,Completed,Credit Card,36.47,76.19
O000244,C01417,2026-06-11,Completed,UPI,39.65,95.35
O000245,C08356,2026-08-25,Completed,UPI,1.92,120.21
O000246,C06830,2025-08-18,Completed,UPI,71.55,41.42
O000247,C03889,2025-11-24,In Transit,UPI,116.63,90.48
O000248,C03617,2026-08-03,Completed,UPI,51.17,57.17
O000249,C01501,2025-09-16,Returned,UPI,36.8,121.49
O000250,C09069,2026-01-08,Cancelled,Credit Card,17.42,42.8
O000251,C01194,2025-06-25,Completed,Debit Card,52.26,92.09
O000252,C04740,2025-10-12,Completed,Credit Card,14.41,144.88
O000253,C02396,2026-07-01,Completed,UPI,102.21,85.24
O000254,C09969,2026-07-28,Completed,UPI,134.05,48.91
O000255,C05873,2026-06-05,Completed,Credit Card,22.61,104.26
O000256,C01506,2025-09-25,Completed,Credit Card,147.36,82.44
O000257,C06700,2026-05-07,Completed,Debit Card,10.17,136.07
O000258,C09922,2026-01-02,In Transit,UPI,58.93,132.98
O000259,C06067,2026-07-13,Completed,Credit Card,33.81,59.04
O000260,C04585,2025-11-22,Returned,COD,133.7,55.12
O000261,C02978,2026-08-13,Completed,UPI,45.87,91.55
O000262,C00942,2026-07-26,Completed,Debit Card,17.83,91.07
O000263,C02316,2026-07-17,Completed,Credit Card,72.55,118.9
O000264,C05556,2025-03-20,Completed,Debit Card,15.4,105.35
O000265,C07559,2025-01-20,Completed,UPI,136.13,70.34
O000266,C08809,2026-05-15,In Transit,UPI,60.58,77.57
O000267,C07981,2026-08-15,Completed,UPI,0.1,134.81
O000269,C07763,2026-05-22,Completed,Credit Card,74.72,101.09
O000270,C05831,2026-06-12,Completed,COD,24.27,112.16
O000271,C04705,2026-06-17,Completed,Debit Card,134.54,65.36
O000272,C05750,2026-07-14,Completed,COD,116.3,123.82
O000273,C00084,2026-07-09,Completed,Debit Card,89.1,125.41
O000274,C00697,2025-11-16,In Transit,UPI,112.04,77.21
O000276,C01765,2026-05-22,In Transit,Credit Card,27.71,135.02
O000277,C05475,2026-07-29,Completed,COD,58.41,101.45
O000278,C03578,2026-02-18,Completed,Credit Card,19.02,60.71
O000279,C09099,2026-08-24,Completed,Credit Card,142.25,81.1
O000280,C09511,2025-08-19,In Transit,UPI,32.49,46.95
O000281,C09799,2025-07-28,Completed,UPI,102.65,42.0
O000282,C09019,2025-06-08,Completed,Debit Card,28.08,99.06
O000283,C09859,2025-12-01,Completed,COD,177.2,106.72
O000284,C07084,2025-12-13,In Transit,Debit Card,31.87,76.22
O000285,C09619,2025-04-29,Completed,UPI,96.05,84.61
O000286,C06442,2026-08-14,Completed,UPI,22.97,113.03
O000288,C01323,2025-09-05,In Transit,COD,137.66,77.3
O000290,C09331,2026-06-13,Completed,Debit Card,74.49,139.23
O000291,C05420,2026-04-08,Completed,Credit Card,61.38,89.6
O000292,C01909,2025-01-24,Completed,Debit Card,48.18,49.05
O000293,C05271,2026-04-13,Completed,Credit Card,42.09,48.64
O000294,C07094,2025-11-05,Completed,Credit Card,3.7,111.3
O000295,C07721,2025-08-10,Completed,Credit Card,134.41,55.94
O000296,C05241,2026-07-31,In Transit,Debit Card,23.7,140.63
O000297,C02219,2026-02-16,Completed,Debit Card,63.26,127.94
O000298,C09285,2026-05-21,In Transit,UPI,63.88,144.99
O000299,C07765,2026-02-28,Completed,UPI,94.78,54.16
O000300,C02747,2026-01-03,Completed,Credit Card,28.75,49.05
O000301,C08149,2026-03-26,Completed,Credit Card,18.97,68.97
O000302,C03521,2026-05-18,Completed,UPI,37.94,136.63
O000303,C03164,2026-02-06,Completed,UPI,4.94,68.18
O000304,C08672,2025-06-12,Completed,Debit Card,9.55,134.33
O000305,C08765,2026-05-31,Completed,COD,88.32,77.83
O000306,C04011,2026-03-15,Completed,UPI,142.65,131.62
O000307,C00095,2026-08-09,Completed,UPI,31.87,142.13
O000308,C01907,2025-05-06,Completed,UPI,19.53,89.52
O000309,C09118,2026-07-25,Completed,Credit Card,143.97,106.46
O000310,C09018,2026-08-16,Completed,UPI,135.05,74.78
O000312,C03085,2026-02-27,Completed,Credit Card,119.98,147.64
O000313,C03071,2025-11-10,Completed,UPI,169.68,145.74
O000315,C03287,2025-11-25,Completed,Credit Card,54.38,73.22
O000318,C02144,2025-07-04,Completed,Credit Card,43.5,130.66
O000319,C02575,2025-04-09,Completed,UPI,11.02,46.44
O000320,C03610,2025-12-30,Completed,UPI,116.51,126.42
O000321,C06571,2026-02-18,Completed,Debit Card,23.07,90.2
O000322,C08201,2025-11-26,Completed,UPI,71.9,63.29
O000323,C05485,2025-02-27,Completed,UPI,72.34,58.88
O000324,C01330,2026-01-23,Completed,COD,59.65,78.22
O000326,C01286,2026-07-27,Completed,UPI,22.73,92.08
O000327,C00906,2026-07-06,Completed,Debit Card,103.85,145.83
O000329,C09574,2026-05-20,In Transit,UPI,78.64,105.02
O000330,C08406,2026-08-19,In Transit,COD,55.83,102.03
O000332,C07301,2026-04-10,In Transit,Credit Card,1.29,143.45
O000333,C09000,2026-06-01,Completed,Credit Card,27.86,135.07
O000334,C07550,2026-03-04,Completed,Credit Card,18.07,53.52
O000335,C06287,2025-08-21,Cancelled,Credit Card,86.74,70.57
O000336,C03673,2025-02-06,Completed,Debit Card,25.28,126.1
O000337,C01032,2025-06-25,Completed,UPI,157.61,89.89
O000338,C04623,2025-05-10,Completed,Credit Card,46.36,55.15
O000339,C09269,2025-07-23,Completed,Debit Card,163.76,64.09
O000340,C05845,2025-06-25,Completed,Credit Card,179.14,49.67
O000341,C01883,2026-07-03,Completed,Credit Card,116.62,125.44
O000342,C06518,2025-01-16,Completed,UPI,97.75,113.92
O000343,C04674,2025-05-05,In Transit,Debit Card,31.93,60.2
O000344,C09333,2026-03-18,In Transit,COD,3.82,112.52
O000345,C01623,2025-12-13,Completed,Credit Card,37.46,49.63
O000346,C07145,2025-10-15,Completed,Credit Card,99.24,112.09
O000347,C06833,2025-01-31,Returned,UPI,129.87,89.11
O000348,C09839,2026-04-16,Cancelled,Credit Card,17.56,55.21
O000349,C05666,2025-02-27,Completed,UPI,67.89,92.32
O000351,C00256,2026-08-29,Completed,Debit Card,57.53,132.54
O000352,C01239,2026-03-03,Completed,UPI,83.02,78.48
O000353,C03502,2026-04-23,Completed,Credit Card,82.65,87.67
O000355,C04503,2026-06-08,Completed,UPI,6.57,104.07
O000356,C02070,2026-08-10,In Transit,Debit Card,84.56,106.87
O000357,C05904,2025-05-08,Completed,UPI,14.63,93.61
O000358,C05684,2026-02-28,Completed,UPI,67.44,79.24
O000360,C00927,2026-08-23,Completed,Credit Card,138.9,54.76
O000361,C09287,2026-01-29,Completed,COD,53.45,93.46
O000362,C05933,2026-08-20,Completed,COD,49.2,134.07
O000363,C02676,2026-03-12,Completed,COD,64.06,141.5
O000364,C06896,2026-04-24,Completed,Debit Card,27.63,146.81
O000365,C03215,2026-02-01,Completed,Credit Card,36.56,108.76
O000366,C05061,2026-08-08,In Transit,UPI,25.66,147.18
O000367,C03446,2026-05-10,Completed,UPI,57.67,94.38
O000368,C08830,2026-06-04,Completed,Credit Card,139.68,95.01
O000369,C09949,2026-08-07,Completed,Debit Card,49.4,69.07
O000370,C01628,2026-01-12,Completed,UPI,28.36,42.11
O000371,C00247,2025-05-04,In Transit,UPI,42.56,111.89
O000372,C02239,2025-06-02,In Transit,Debit Card,116.49,79.89
O000374,C01768,2026-08-05,Completed,Credit Card,37.73,95.95
O000375,C08146,2025-10-23,Completed,UPI,51.76,80.42
O000376,C04111,2025-05-18,In Transit,Credit Card,101.36,78.99
O000377,C06119,2025-09-05,In Transit,COD,0.86,90.1
O000378,C04568,2026-08-25,In Transit,UPI,65.66,144.43
O000379,C09059,2026-08-20,Completed,Credit Card,5.44,53.96
O000380,C00363,2025-12-31,In Transit,Credit Card,130.24,60.01
O000382,C06548,2026-08-23,In Transit,COD,54.93,118.01
O000384,C04165,2026-08-18,Completed,Credit Card,0.56,67.02
O000385,C00163,2025-09-17,Completed,COD,60.44,121.73
O000386,C06915,2025-10-12,Completed,Credit Card,75.71,78.57
O000387,C08326,2025-08-05,Completed,Credit Card,102.03,114.74
O000388,C00867,2025-09-02,Completed,Debit Card,88.6,145.88
O000389,C04424,2026-02-09,Completed,COD,88.25,145.06
O000390,C01647,2025-05-17,Cancelled,UPI,148.88,56.8
O000392,C07889,2026-01-23,Completed,Credit Card,80.71,84.75
O000393,C06690,2025-12-04,Completed,UPI,80.75,77.43
O000394,C03216,2026-08-13,Completed,UPI,48.09,51.45
O000395,C01402,2025-03-03,In Transit,COD,137.03,142.91
O000397,C03277,2026-05-18,Completed,Credit Card,12.99,67.24
O000398,C00234,2026-02-20,Returned,Debit Card,11.7,143.76
O000399,C05736,2025-09-27,In Transit,Credit Card,49.86,116.08
O000400,C02498,2025-03-14,Completed,UPI,22.34,71.08
O000401,C08442,2026-08-26,Completed,UPI,67.91,131.02
O000402,C01437,2025-08-19,Completed,Credit Card,88.36,116.43
O000403,C04359,2025-04-11,Returned,Credit Card,22.06,72.39
O000404,C02568,2025-09-30,Completed,Credit Card,3.17,139.85
O000405,C06916,2026-07-29,Completed,UPI,55.79,79.68
O000406,C05500,2026-04-14,In Transit,Debit Card,64.46,104.36
O000407,C07951,2026-07-05,In Transit,Debit Card,93.4,147.58
O000408,C04597,2026-08-25,Completed,Credit Card,26.27,40.06
O000409,C00050,2025-10-16,Completed,UPI,1.37,95.06
O000410,C02196,2026-07-09,Completed,Credit Card,52.4,126.4
O000412,C04081,2025-06-29,Returned,UPI,89.82,132.06
O000413,C06219,2026-06-23,Returned,Credit Card,28.37,41.28
O000414,C09080,2025-05-01,Completed,COD,52.84,82.26
O000415,C00220,2025-03-15,Completed,UPI,62.91,138.19
O000416,C06623,2026-07-08,Completed,UPI,59.96,55.26
O000417,C02923,2025-02-20,Cancelled,Credit Card,62.8,129.56
O000418,C02833,2026-07-13,Completed,Credit Card,1.15,113.37
O000419,C02286,2026-03-09,Completed,Credit Card,26.12,127.28
O000420,C08261,2025-10-11,In Transit,Credit Card,0.8,111.19
O000421,C03758,2026-04-18,Completed,Credit Card,67.58,127.78
O000422,C00691,2025-12-25,Completed,Debit Card,30.46,113.59
O000423,C00991,2025-04-25,In Transit,UPI,98.38,55.91
O000424,C01499,2026-04-28,Completed,Debit Card,2.0,95.69
O000425,C09019,2026-05-19,Completed,COD,58.06,124.59
O000426,C04292,2025-04-08,Completed,UPI,39.53,149.44
O000427,C09191,2025-02-21,Returned,Debit Card,83.65,98.88
O000428,C08201,2026-07-06,Completed,Credit Card,111.47,131.68
O000429,C08409,2026-06-20,Completed,Credit Card,13.09,147.05
O000430,C02906,2025-11-10,In Transit,UPI,82.46,90.68
O000431,C02751,2026-03-31,Completed,UPI,79.19,41.84
O000432,C05619,2025-05-22,Completed,Credit Card,39.5,72.72
O000435,C00555,2026-05-08,Completed,Credit Card,72.79,83.14
O000436,C09723,2025-01-24,In Transit,Debit Card,51.75,44.73
O000437,C00602,2025-11-12,Completed,Debit Card,7.01,75.53
O000438,C01822,2026-05-29,Completed,Credit Card,38.05,76.18
O000439,C06798,2026-03-08,Completed,UPI,9.99,147.0
O000440,C01565,2026-08-28,Completed,Debit Card,5.25,100.0
O000441,C01078,2026-04-05,In Transit,Credit Card,130.31,67.13
O000442,C01542,2025-12-24,Completed,UPI,130.51,145.23
O000443,C00637,2025-10-29,Completed,Credit Card,88.9,111.7
O000444,C02545,2026-07-22,Completed,COD,15.9,108.22
O000445,C02750,2025-01-13,Completed,Debit Card,41.93,112.99
O000446,C04993,2026-07-07,Completed,Credit Card,53.29,87.72
O000449,C06175,2026-03-30,Completed,Debit Card,121.62,61.84
O000450,C02344,2025-12-02,Completed,COD,59.62,142.18
O000452,C08816,2025-12-28,Completed,Debit Card,54.01,95.49
O000453,C06360,2026-08-28,Completed,Debit Card,15.89,58.09
O000454,C00622,2026-01-01,In Transit,UPI,122.9,96.23
O000455,C09623,2026-06-23,Completed,Debit Card,36.69,147.57
O000456,C06956,2026-02-11,Returned,UPI,1.48,60.58
O000457,C01526,2025-05-13,Completed,Debit Card,119.92,130.88
O000458,C09699,2025-10-07,Completed,Credit Card,67.84,146.35
O000459,C03682,2026-04-26,Completed,UPI,63.53,46.26
O000460,C09849,2025-03-05,Completed,UPI,94.89,138.67
O000461,C01046,2026-08-28,Completed,COD,36.68,93.11
O000462,C01609,2025-09-08,Completed,COD,78.36,51.71
O000463,C06603,2025-01-13,Completed,COD,56.66,83.3
O000464,C00234,2026-03-18,Completed,UPI,61.22,64.6
O000465,C00194,2026-07-15,Completed,Debit Card,75.63,127.13
O000466,C07962,2026-06-24,Completed,COD,1.75,47.88
O000467,C01697,2026-07-08,Completed,UPI,85.64,41.28
O000469,C04277,2025-07-25,Completed,UPI,60.38,65.33
O000470,C08767,2026-03-05,Completed,Debit Card,66.29,134.18
O000471,C04197,2026-07-29,Completed,UPI,103.65,142.75
O000472,C05309,2025-04-04,Completed,Credit Card,42.0,95.78
O000473,C03202,2026-01-15,Completed,Debit Card,10.73,128.39
O000474,C06610,2026-08-18,Completed,COD,23.51,112.73
O000475,C03216,2026-08-24,Completed,UPI,31.84,87.76
O000476,C02273,2025-09-21,Completed,Credit Card,78.59,144.69
O000477,C00823,2026-03-23,Completed,UPI,20.5,145.09
O000478,C00597,2026-05-14,Completed,Credit Card,95.5,73.51
O000479,C03102,2026-06-22,Completed,Debit Card,43.37,83.35
O000480,C07394,2025-11-11,Completed,UPI,70.04,65.37
O000481,C02104,2025-11-02,In Transit,UPI,3.06,60.75
O000482,C03041,2025-10-01,In Transit,Credit Card,69.49,100.97
O000483,C09083,2026-03-16,Completed,Debit Card,77.11,77.1
O000484,C06414,2026-03-18,Completed,Debit Card,93.33,55.99
O000485,C09218,2025-12-08,Completed,UPI,23.66,48.22
O000486,C09139,2025-11-04,Cancelled,Credit Card,26.78,117.6
