customer_id,signup_date,age,gender,city,acquisition_channel,customer_segment
C00074,2024-08-06,29,Female,Bangalore,Organic Search,Budget
C00075,2025-08-15,31,Male,Mumbai,Google,VIP
C00076,2024-11-03,22,Male,Lucknow,Organic Search,Premium
C00077,2026-05-26,53,Male,Chennai,Google,Regular
C00078,2025-01-11,22,Female,Hyderabad,Google,Regular
C00079,2024-06-13,49,Female,Chennai,Organic Search,Regular
C00080,2024-05-24,33,Female,Mumbai,Direct,Regular
C00081,2025-05-04,37,Female,Delhi,Referral,Budget
C00082,2024-06-10,60,Female,Bangalore,Organic Search,Regular
C00083,2025-05-29,60,Male,Delhi,Instagram,Regular
C00084,2026-05-08,40,Male,Ahmedabad,Google,Regular
C00085,2024-11-07,51,Male,Kolkata,Instagram,Regular
C00086,2024-04-24,62,Female,Ahmedabad,Organic Search,Premium
C00087,2026-08-25,53,Male,Jaipur,Referral,Regular
C00088,2025-03-08,52,Male,Delhi,Google,Regular
C00089,2023-12-05,40,Female,Chennai,Google,Regular
C00090,2023-10-18,40,Female,Jaipur,Google,Regular
C00091,2023-12-26,37,Female,Pune,Google,Budget
C00092,2025-07-15,53,Male,Jaipur,Organic Search,Regular
C00093,2026-01-12,45,Female,Hyderabad,Referral,Regular
C00094,2024-12-02,22,Male,Jaipur,Referral,Budget
C00095,2023-11-05,40,Female,Kolkata,Instagram,Regular
C00096,2024-10-19,56,Other,Lucknow,YouTube,Premium
C00097,2026-08-23,60,Female,Jaipur,Organic Search,Regular
C00098,2025-03-29,55,Male,Ahmedabad,Instagram,Premium
C00099,2026-07-27,19,Male,Chennai,Google,Regular
C00100,2026-03-28,62,Male,Hyderabad,Google,Premium
C00101,2023-09-09,62,Female,Pune,Organic Search,Regular
C00102,2025-10-25,61,Female,Lucknow,Direct,Budget
C00103,2025-09-13,20,Male,Delhi,YouTube,Budget
C00104,2025-04-07,45,Female,Jaipur,Organic Search,Regular
C00105,2024-06-15,45,Other,Mumbai,Instagram,Regular
C00106,2025-07-30,23,Female,Chennai,Instagram,VIP
C00107,2023-12-28,54,Male,Bangalore,Direct,Regular
C00108,2024-12-16,58,Male,Mumbai,Referral,Regular
C00109,2025-01-06,33,Female,Lucknow,Direct,Premium
C00110,2026-07-08,29,Male,Chennai,Google,Budget
C00111,2026-04-13,43,Male,Delhi,Google,Regular
C00112,2024-06-11,53,Other,Pune,Instagram,Regular
C00113,2025-02-26,37,Female,Bangalore,Organic Search,VIP
C00114,2024-03-10,22,Female,Delhi,Instagram,Premium
C00115,2026-05-24,62,Male,Ahmedabad,Google,Premium
C00116,2026-04-08,49,Other,Chennai,Organic Search,Regular
C00117,2024-07-20,44,Female,Mumbai,YouTube,Regular
C00118,2025-07-28,18,Male,Kolkata,Direct,Premium
C00119,2025-06-25,48,Female,Bangalore,Referral,Premium
C00120,2024-02-11,54,Female,Bangalore,Google,Regular
C00121,2025-12-10,63,Male,Hyderabad,Google,Regular
C00122,2025-04-10,49,Male,Ahmedabad,Instagram,Regular
C00123,2025-12-28,20,Female,Mumbai,Referral,Regular
C00124,2025-03-31,47,Female,Mumbai,Instagram,Budget
C00125,2023-08-28,32,Female,Delhi,Organic Search,Premium
C00126,2024-08-17,51,Male,Delhi,Referral,Regular
C00127,2023-09-18,51,Male,Pune,YouTube,Premium
C00128,2026-06-11,47,Female,Bangalore,Organic Search,Premium
C00129,2026-04-17,27,Female,Lucknow,Organic Search,Budget
C00130,2026-02-24,22,Other,Chennai,Google,Budget
C00131,2024-07-30,60,Male,Bangalore,Referral,Regular
C00132,2023-10-30,33,Male,Pune,Organic Search,Budget
C00133,2026-04-16,21,Male,Bangalore,Direct,Regular
C00134,2026-06-30,49,Male,Lucknow,Google,Premium
C00135,2023-11-29,35,Male,Pune,Instagram,Budget
C00136,2025-02-10,58,Male,Delhi,Instagram,Regular
C00137,2023-11-11,44,Male,Jaipur,YouTube,Regular
C00138,2025-12-08,47,Male,Mumbai,Google,Premium
C00139,2025-12-14,52,Male,Ahmedabad,YouTube,Regular
C00140,2024-01-15,40,Female,Delhi,Organic Search,Budget
C00141,2025-01-29,24,Female,Kolkata,YouTube,Regular
C00142,2025-04-21,62,Female,Pune,Referral,Budget
C00143,2024-06-13,42,Female,Lucknow,Referral,Premium
C00144,2026-04-10,39,Male,Jaipur,Direct,Regular
C00145,2024-12-03,21,Male,Jaipur,YouTube,Budget
C00146,2024-04-16,64,Female,Ahmedabad,Referral,Regular
C00147,2025-04-10,59,Male,Pune,Direct,Regular
C00148,2025-11-05,62,Male,Jaipur,Google,Budget
C00149,2024-04-04,23,Male,Hyderabad,Direct,Budget
C00150,2024-08-03,47,Male,Kolkata,Organic Search,Budget
C00151,2026-08-22,48,Male,Hyderabad,Direct,Premium
C00152,2025-08-09,37,Other,Hyderabad,Instagram,VIP
C00153,2024-12-20,47,Male,Bangalore,Organic Search,Premium
C00154,2025-03-17,28,Female,Bangalore,Organic Search,Budget
C00155,2024-01-07,43,Male,Bangalore,Instagram,Premium
C00156,2024-04-30,29,Male,Lucknow,Organic Search,Budget
C00157,2024-09-01,28,Female,Bangalore,Instagram,Regular
C00158,2025-06-02,27,Female,Lucknow,Direct,Regular
C00159,2024-05-06,19,Male,Chennai,Instagram,Budget
C00160,2024-04-25,32,Male,Kolkata,Organic Search,Budget
C00161,2023-11-13,22,Female,Delhi,Instagram,Premium
C00162,2025-07-19,26,Male,Bangalore,Instagram,Premium
C00163,2024-05-04,39,Male,Ahmedabad,Organic Search,Premium
C00164,2026-05-16,47,Female,Chennai,Organic Search,Regular
C00165,2026-03-27,43,Female,Jaipur,Direct,Regular
C00166,2023-11-13,57,Male,Ahmedabad,Google,Regular
C00167,2024-05-14,55,Female,Mumbai,Google,Premium
C00168,2025-08-30,19,Female,Ahmedabad,Google,Regular
C00169,2024-04-18,23,Female,Kolkata,Organic Search,Regular
C00170,2024-01-20,32,Female,Mumbai,Referral,Premium
C00171,2026-06-18,53,Other,Jaipur,Google,Budget
C00172,2025-05-14,50,Male,Pune,Organic Search,Regular
C00173,2025-01-27,27,Male,Pune,Referral,Regular
C00174,2026-01-03,62,Male,Ahmedabad,YouTube,Regular
C00175,2026-01-29,46,Male,Delhi,Instagram,Regular
C00176,2024-03-23,53,Female,Chennai,Organic Search,VIP
C00177,2023-12-12,57,Female,Ahmedabad,YouTube,Regular
C00178,2024-12-12,60,Male,Ahmedabad,YouTube,Regular
C00179,2024-12-04,64,Female,Hyderabad,Direct,Premium
C00180,2025-01-20,54,Female,Lucknow,Organic Search,Regular
C00181,2025-11-04,26,Male,Ahmedabad,Organic Search,Premium
C00182,2025-09-04,18,Male,Chennai,Instagram,Budget
C00183,2026-08-10,40,Female,Pune,YouTube,Regular
C00184,2023-12-13,38,Male,Chennai,Google,Premium
C00185,2024-11-11,43,Male,Hyderabad,Referral,Premium
C00186,2024-09-02,19,Male,Delhi,Direct,Regular
C00187,2026-03-29,61,Female,Pune,Instagram,Regular
C00188,2024-05-26,23,Male,Mumbai,Google,Regular
C00189,2024-03-23,39,Male,Delhi,Referral,Budget
C00190,2024-12-31,37,Male,Hyderabad,Google,Budget
C00191,2024-12-02,57,Female,Mumbai,Google,Regular
C00192,2024-06-28,36,Male,Mumbai,Instagram,Regular
C00193,2024-05-27,57,Female,Mumbai,Organic Search,Regular
C00194,2026-06-04,19,Female,Mumbai,Google,Regular
C00195,2024-12-25,21,Male,Kolkata,Direct,Regular
C00196,2026-03-29,27,Female,Delhi,Google,Budget
C00197,2025-04-22,45,Female,Kolkata,Referral,Budget
C00198,2023-10-22,20,Male,Ahmedabad,Instagram,Premium
C00199,2026-08-27,20,Female,Ahmedabad,Instagram,Budget
C00200,2026-03-01,31,Female,Hyderabad,Direct,Budget
C00201,2026-07-25,31,Male,Delhi,Instagram,Budget
C00202,2026-06-08,40,Female,Bangalore,Referral,Regular
C00203,2026-03-15,19,Female,Chennai,Google,Regular
C00204,2024-02-26,19,Male,Kolkata,Google,Regular
C00205,2025-02-10,55,Female,Jaipur,YouTube,Regular
C00206,2024-04-18,39,Female,Mumbai,Direct,Regular
C00207,2024-11-09,63,Male,Mumbai,YouTube,Regular
C00208,2023-10-31,26,Female,Jaipur,Google,Budget
C00209,2024-10-16,60,Male,Lucknow,Referral,Budget
C00210,2026-08-11,40,Female,Pune,Direct,Budget
C00211,2024-06-13,53,Female,Delhi,Referral,Regular
C00212,2026-01-03,29,Male,Lucknow,Instagram,Regular
C00213,2025-01-07,48,Female,Ahmedabad,Google,Regular
C00214,2024-12-03,24,Female,Mumbai,Google,Regular
C00215,2026-07-12,63,Male,Pune,Organic Search,Budget
C00216,2026-08-22,53,Female,Chennai,Organic Search,Regular
C00217,2025-04-28,53,Female,Kolkata,Referral,VIP
C00218,2025-10-23,64,Female,Pune,Organic Search,Budget
C00219,2024-02-13,53,Female,Bangalore,Referral,Budget
C00220,2024-07-18,62,Male,Jaipur,Organic Search,Budget
C00221,2026-07-24,26,Male,Mumbai,YouTube,Regular
C00222,2025-05-23,59,Male,Bangalore,Organic Search,Premium
C00223,2025-04-13,61,Other,Pune,Referral,Regular
C00224,2025-11-24,61,Female,Mumbai,Instagram,VIP
C00225,2023-10-29,64,Male,Ahmedabad,Organic Search,Regular
C00226,2025-05-29,34,Female,Pune,Referral,VIP
C00227,2025-03-01,35,Female,Lucknow,Instagram,Regular
C00228,2026-03-19,49,Female,Kolkata,Direct,Regular
C00229,2024-02-16,39,Female,Chennai,Organic Search,Budget
C00230,2026-07-16,25,Other,Kolkata,Organic Search,Premium
C00231,2023-11-23,56,Male,Lucknow,Referral,Regular
C00232,2024-03-18,41,Male,Delhi,Direct,Regular
C00233,2025-06-10,43,Female,Kolkata,Google,Regular
C00234,2025-09-06,46,Female,Delhi,Referral,Regular
C00235,2024-05-11,61,Male,Kolkata,YouTube,VIP
C00236,2024-01-06,30,Female,Bangalore,Instagram,Budget
C00237,2026-04-29,46,Female,Chennai,YouTube,Regular
C00238,2024-05-23,61,Other,Lucknow,Instagram,Regular
C00239,2025-06-09,37,Female,Mumbai,Instagram,Regular
C00240,2025-07-06,47,Female,Delhi,Google,Budget
C00241,2024-11-29,18,Female,Jaipur,Instagram,Regular
C00242,2025-05-28,21,Male,Lucknow,Organic Search,Regular
C00243,2025-03-22,23,Other,Ahmedabad,YouTube,Regular
C00244,2026-06-17,42,Female,Hyderabad,Google,VIP
C00245,2024-04-07,62,Male,Delhi,Google,Budget
C00246,2025-10-20,20,Female,Chennai,Instagram,VIP
C00247,2024-05-15,26,Female,Lucknow,Referral,Regular
C00248,2024-11-03,52,Female,Mumbai,Instagram,Premium
C00249,2025-09-02,55,Female,Jaipur,Referral,Regular
C00250,2024-07-21,51,Male,Ahmedabad,Google,Budget
C00251,2024-08-08,26,Male,Delhi,Direct,Premium
C00252,2025-11-29,57,Female,Delhi,Google,Regular
C00253,2023-11-15,25,Female,Lucknow,Referral,VIP
C00254,2025-01-11,30,Female,Mumbai,Instagram,Premium
C00255,2026-08-26,46,Female,Bangalore,Google,Regular
C00256,2026-08-23,44,Female,Mumbai,Direct,Premium
C00257,2023-11-16,57,Male,Jaipur,Google,Budget
C00258,2024-04-17,59,Male,Pune,Instagram,Premium
C00259,2024-06-13,62,Female,Bangalore,Direct,Budget
C00260,2026-06-15,49,Male,Kolkata,Instagram,Premium
C00261,2026-04-19,31,Female,Kolkata,Instagram,Budget
C00262,2026-04-17,44,Other,Mumbai,Instagram,Regular
C00263,2024-10-06,41,Female,Pune,Google,Budget
C00264,2024-02-16,58,Other,Chennai,Instagram,VIP
C00265,2026-02-26,49,Female,Hyderabad,Google,Premium
C00266,2025-10-07,39,Female,Pune,Google,Regular
C00267,2025-06-28,35,Female,Hyderabad,Referral,Regular
C00268,2026-08-14,29,Male,Mumbai,Google,Regular
C00269,2025-08-13,28,Female,Lucknow,Instagram,Regular
C00270,2023-09-05,21,Male,Jaipur,Instagram,Premium
C00271,2026-02-08,46,Male,Delhi,Organic Search,Budget
C00272,2024-07-21,28,Male,Mumbai,Direct,Budget
C00273,2025-08-24,46,Female,Chennai,Referral,Regular
C00274,2026-06-22,22,Other,Mumbai,Google,Premium
C00275,2024-01-22,51,Male,Mumbai,Referral,Regular
C00276,2024-01-01,32,Male,Ahmedabad,Instagram,Budget
C00277,2023-12-23,46,Female,Delhi,Organic Search,Regular
C00278,2025-04-25,61,Male,Lucknow,Referral,Premium
C00279,2024-06-21,42,Male,Kolkata,Instagram,Regular
C00280,2025-06-20,53,Female,Jaipur,Instagram,Regular
C00281,2025-10-22,19,Female,Mumbai,Instagram,Budget
C00282,2024-04-07,35,Male,Pune,Google,Regular
C00283,2025-07-23,50,Female,Jaipur,Instagram,Regular
C00284,2024-06-12,41,Male,Jaipur,Referral,Budget
C00285,2025-02-13,39,Male,Mumbai,Referral,Budget
C00286,2026-05-16,50,Female,Mumbai,Direct,Budget
C00287,2026-03-12,30,Male,Pune,Google,VIP
C00288,2023-12-07,43,Female,Delhi,Organic Search,Budget
C00289,2024-12-04,61,Male,Bangalore,Direct,Regular
C00290,2024-06-26,26,Male,Jaipur,Organic Search,Premium
C00291,2023-08-31,45,Female,Kolkata,Referral,Regular
C00292,2025-12-20,23,Female,Lucknow,YouTube,Budget
C00293,2025-07-26,59,Male,Delhi,Instagram,Budget
C00294,2024-06-10,30,Male,Bangalore,Instagram,VIP
C00295,2025-11-17,53,Female,Kolkata,YouTube,Budget
C00296,2025-04-23,61,Female,Delhi,Referral,Regular
C00297,2024-12-08,58,Female,Lucknow,Google,Budget
C00298,2023-09-07,32,Male,Mumbai,Direct,Premium
C00299,2023-11-18,41,Male,Hyderabad,Organic Search,Premium
C00300,2026-04-21,41,Female,Bangalore,Referral,Regular
C00301,2026-05-14,51,Female,Delhi,Referral,Premium
C00302,2025-04-16,56,Male,Bangalore,Google,Regular
C00303,2026-02-27,20,Female,Ahmedabad,Organic Search,Budget
C00304,2025-05-27,43,Female,Kolkata,Referral,Regular
C00305,2024-02-06,19,Male,Chennai,Instagram,Regular
C00306,2024-01-14,64,Female,Kolkata,Google,Regular
C00307,2024-07-30,23,Female,Jaipur,Direct,Regular
C00308,2026-05-09,54,Male,Mumbai,Organic Search,Budget
C00309,2026-01-16,62,Male,Lucknow,Instagram,Budget
C00310,2026-03-28,27,Male,Jaipur,YouTube,Budget
C00311,2026-05-09,60,Female,Jaipur,Instagram,Budget
C00312,2024-04-14,60,Female,Chennai,Referral,Premium
C00313,2024-05-27,61,Male,Pune,Instagram,Budget
C00314,2023-12-18,31,Male,Chennai,Direct,Budget
C00315,2025-12-30,52,Male,Chennai,Instagram,Budget
C00316,2026-04-23,31,Female,Hyderabad,Direct,VIP
C00317,2024-11-15,60,Male,Jaipur,Referral,Premium
C00318,2025-07-08,48,Male,Delhi,Google,Regular
C00319,2024-02-13,40,Male,Hyderabad,Organic Search,Budget
C00320,2026-06-12,25,Other,Mumbai,Organic Search,Budget
C00321,2026-04-01,55,Female,Pune,Google,Regular
C00322,2026-08-01,43,Male,Delhi,Google,Premium
C00323,2026-02-01,64,Female,Ahmedabad,Organic Search,Premium
C00324,2026-04-20,18,Male,Chennai,Referral,Regular
C00325,2023-09-24,45,Male,Pune,Google,Premium
C00326,2025-11-12,42,Female,Jaipur,Instagram,Regular
C00327,2024-08-26,28,Female,Pune,Google,Regular
C00328,2026-06-13,23,Female,Jaipur,Google,Premium
C00329,2026-01-23,18,Male,Pune,Referral,Regular
C00330,2026-04-01,18,Male,Kolkata,Referral,Regular
C00331,2026-02-01,46,Male,Mumbai,Referral,Regular
C00332,2024-06-15,55,Male,Bangalore,Instagram,Regular
C00333,2026-01-06,19,Male,Bangalore,Referral,VIP
C00334,2023-12-24,19,Male,Chennai,Organic Search,Budget
C00335,2026-04-09,22,Male,Chennai,Google,Regular
C00336,2026-03-26,60,Female,Pune,Organic Search,Premium
C00337,2024-04-27,60,Male,Kolkata,YouTube,Premium
C00338,2026-02-07,32,Male,Bangalore,Instagram,VIP
C00339,2025-01-13,39,Male,Hyderabad,Google,Regular
C00340,2024-07-27,44,Female,Bangalore,Referral,Budget
C00341,2026-01-15,47,Female,Mumbai,Direct,Premium
C00342,2024-05-03,47,Male,Lucknow,Organic Search,Budget
C00343,2023-09-22,59,Male,Ahmedabad,Direct,Regular
C00344,2024-03-26,24,Female,Ahmedabad,Referral,Budget
C00345,2024-08-21,30,Female,Pune,YouTube,Regular
C00346,2026-04-01,43,Male,Lucknow,Instagram,Regular
C00347,2026-07-22,59,Female,Mumbai,Google,Premium
C00348,2024-06-28,41,Female,Kolkata,Referral,Budget
C00349,2025-07-31,53,Male,Kolkata,Referral,Budget
C00350,2024-11-08,52,Female,Mumbai,Instagram,Budget
C00351,2026-08-07,54,Female,Kolkata,Referral,Budget
C00352,2025-04-06,31,Female,Jaipur,YouTube,VIP
C00353,2026-06-22,52,Female,Delhi,Google,Regular
C00354,2024-01-01,56,Female,Kolkata,Google,Premium
C00355,2026-07-26,21,Female,Lucknow,Direct,Premium
C00356,2024-03-10,53,Male,Mumbai,Referral,Regular
C00357,2026-07-17,50,Male,Jaipur,Referral,Regular
C00358,2024-06-13,19,Female,Chennai,Google,Regular
C00359,2023-12-24,20,Female,Lucknow,Google,Regular
C00360,2024-12-16,40,Male,Pune,Referral,Premium
C00361,2025-11-03,47,Male,Pune,Referral,VIP
C00362,2024-08-05,30,Female,Jaipur,Instagram,Regular
C00363,2025-06-22,47,Male,Mumbai,Google,VIP
C00364,2025-03-10,20,Female,Kolkata,Google,Budget
C00365,2024-10-23,22,Female,Ahmedabad,Referral,Premium
C00366,2025-05-20,38,Male,Pune,Instagram,Premium
C00367,2024-06-02,50,Female,Pune,Instagram,Budget
C00368,2025-10-12,53,Male,Delhi,Google,Regular
C00369,2023-08-29,19,Female,Jaipur,YouTube,Premium
C00370,2026-06-07,40,Female,Delhi,YouTube,Premium
C00371,2025-04-09,60,Female,Chennai,Google,Regular
C00372,2025-10-24,59,Female,Bangalore,Organic Search,Regular
C00373,2025-11-18,31,Female,Kolkata,Google,Budget
C00374,2025-09-01,38,Male,Delhi,Google,VIP
C00375,2024-09-30,35,Female,Jaipur,Referral,Regular
C00376,2023-11-12,50,Female,Mumbai,Referral,Premium
C00377,2025-08-25,20,Female,Pune,Instagram,Regular
C00378,2024-08-23,25,Male,Hyderabad,Instagram,VIP
C00379,2024-08-06,29,Other,Hyderabad,YouTube,Budget
C00380,2026-03-14,23,Male,Delhi,Referral,Budget
C00381,2025-10-24,22,Female,Lucknow,Instagram,Regular
C00382,2024-07-22,48,Female,Jaipur,YouTube,Budget
C00383,2024-07-31,38,Male,Bangalore,Instagram,Regular
C00384,2024-11-17,50,Female,Kolkata,Google,Budget
C00385,2024-11-11,46,Female,Pune,YouTube,Budget
C00386,2024-07-17,52,Male,Pune,Organic Search,Premium
C00387,2024-01-14,39,Other,Kolkata,Google,Regular
C00388,2024-11-30,55,Male,Lucknow,Organic Search,Budget
C00389,2026-06-23,22,Male,Chennai,Organic Search,Regular
C00390,2025-09-08,35,Male,Hyderabad,Google,Regular
C00391,2026-05-13,28,Male,Hyderabad,Google,Budget
C00392,2025-07-02,21,Female,Delhi,YouTube,Regular
C00393,2024-07-22,46,Male,Chennai,Direct,Budget
C00394,2025-04-19,34,Female,Jaipur,Organic Search,Regular
C00395,2023-08-28,46,Male,Delhi,Instagram,Premium
C00396,2024-07-07,38,Female,Kolkata,Referral,Premium
C00397,2024-12-11,25,Male,Mumbai,Instagram,Regular
C00398,2025-05-24,36,Male,Mumbai,YouTube,Budget
C00399,2025-08-14,25,Male,Mumbai,Instagram,Budget
C00400,2025-01-18,41,Male,Hyderabad,Organic Search,Regular
C00401,2024-12-24,63,Other,Hyderabad,Organic Search,Regular
C00402,2024-04-18,45,Male,Lucknow,Instagram,Regular
C00403,2025-01-27,49,Male,Lucknow,Instagram,Budget
C00404,2026-05-11,45,Female,Ahmedabad,Organic Search,Regular
C00405,2026-01-16,19,Female,Bangalore,Instagram,Regular
C00406,2024-02-29,31,Male,Jaipur,Referral,Budget
C00407,2023-11-28,27,Female,Ahmedabad,Instagram,Regular
C00408,2025-03-14,49,Female,Delhi,Instagram,Regular
C00409,2025-07-21,57,Female,Jaipur,Google,Regular
C00410,2024-08-29,42,Male,Hyderabad,Google,Budget
C00411,2026-02-09,49,Female,Mumbai,Referral,Regular
C00412,2025-11-28,49,Male,Kolkata,Organic Search,Premium
C00413,2025-09-03,35,Female,Chennai,Direct,Premium
C00414,2024-04-30,63,Female,Pune,Organic Search,Regular
C00415,2024-04-02,45,Male,Delhi,Instagram,Regular
C00416,2023-09-23,44,Other,Bangalore,Instagram,Regular
C00417,2024-05-22,39,Female,Mumbai,YouTube,Regular
C00418,2025-01-29,36,Male,Kolkata,Referral,Premium
C00419,2026-03-16,54,Male,Lucknow,Referral,Premium
C00420,2023-11-15,61,Female,Mumbai,Google,Budget
C00421,2024-11-24,59,Female,Jaipur,Referral,Premium
C00422,2025-07-18,56,Female,Delhi,Google,Premium
C00423,2024-03-28,53,Male,Lucknow,Organic Search,Premium
C00424,2025-09-29,31,Male,Delhi,Organic Search,Regular
C00425,2025-02-19,33,Male,Kolkata,YouTube,Regular
C00426,2024-05-21,21,Male,Hyderabad,Organic Search,Premium
C00427,2025-08-16,52,Male,Pune,Google,Regular
C00428,2023-09-03,38,Male,Hyderabad,Instagram,Regular
C00429,2025-11-28,34,Female,Hyderabad,YouTube,Premium
C00430,2025-12-18,54,Female,Kolkata,Organic Search,Budget
C00431,2023-12-22,41,Female,Delhi,Referral,Budget
C00432,2024-12-05,36,Female,Bangalore,Instagram,Regular
C00433,2024-03-07,47,Other,Chennai,Organic Search,Regular
C00434,2026-07-12,62,Male,Kolkata,Organic Search,Budget
C00435,2025-03-17,45,Female,Jaipur,Direct,Regular
C00436,2023-10-22,34,Female,Hyderabad,Organic Search,Budget
C00437,2024-05-27,23,Other,Kolkata,Referral,Regular
C00438,2026-03-14,27,Male,Mumbai,Referral,Regular
C00439,2025-01-09,23,Female,Bangalore,Direct,Regular
C00440,2026-01-22,63,Male,Chennai,Organic Search,Budget
C00441,2025-08-28,38,Male,Chennai,Organic Search,Regular
C00442,2026-08-14,56,Female,Bangalore,YouTube,Premium
C00443,2025-06-10,23,Male,Jaipur,Organic Search,Regular
C00444,2026-07-04,53,Male,Ahmedabad,Instagram,Regular
C00445,2026-05-01,45,Male,Kolkata,Direct,Budget
C00446,2025-06-29,33,Male,Lucknow,Organic Search,Regular
C00447,2025-10-24,26,Female,Ahmedabad,Instagram,Regular
C00448,2025-03-03,60,Male,Hyderabad,Google,Premium
C00449,2026-02-23,23,Female,Delhi,Organic Search,Regular
C00450,2025-04-19,41,Female,Kolkata,Google,Premium
C00451,2026-05-07,31,Female,Lucknow,Direct,Budget
C00452,2025-11-20,40,Male,Ahmedabad,Google,Regular
C00453,2025-01-29,38,Female,Jaipur,Instagram,Budget
C00454,2024-06-07,21,Male,Jaipur,Direct,Regular
C00455,2024-05-24,34,Other,Delhi,Google,Regular
C00456,2025-07-26,56,Female,Mumbai,Referral,Budget
C00457,2025-12-14,51,Female,Chennai,Instagram,Regular
C00458,2025-03-21,19,Male,Bangalore,Referral,Regular
C00459,2025-07-14,41,Female,Pune,Organic Search,Regular
C00460,2024-06-23,49,Male,Hyderabad,Referral,Premium
