campaign_id,date,impressions,clicks,conversions,spend,revenue_generated
CAM004,2025-09-25,21294,813,59,9582.4,132538.6
CAM004,2025-09-26,20984,774,58,9443.03,154143.08
CAM004,2025-09-27,22057,806,69,9925.94,171412.63
CAM004,2025-09-28,21307,796,63,9588.35,152280.12
CAM004,2025-09-29,21778,928,76,9800.49,175331.17
CAM004,2025-09-30,21816,859,74,9817.36,198960.62
CAM004,2025-10-01,19320,809,65,8694.42,176839.67
CAM004,2025-10-02,20768,902,75,9345.98,178619.59
CAM004,2025-10-03,22537,956,80,10142.02,173277.93
CAM004,2025-10-04,21290,777,62,9580.52,144402.25
CAM004,2025-10-05,22816,928,81,10267.3,221204.49
CAM005,2025-11-14,40308,852,32,11286.24,83173.75
CAM005,2025-11-15,38839,774,32,10874.94,70589.74
CAM005,2025-11-16,43461,959,36,12169.33,92165.84
CAM005,2025-11-17,42701,925,37,11956.48,95837.07
CAM005,2025-11-18,46237,879,33,12946.56,69166.57
CAM005,2025-11-19,44648,996,42,12501.5,91785.18
CAM005,2025-11-20,44324,926,38,12410.96,99923.25
CAM005,2025-11-21,41640,879,33,11659.46,74550.29
CAM005,2025-11-22,41253,899,38,11551.02,92444.07
CAM005,2025-11-23,45117,950,37,12632.86,98418.79
CAM005,2025-11-24,40298,794,34,11283.55,78073.51
CAM005,2025-11-25,47064,884,32,13178.14,79403.46
CAM005,2025-11-26,45074,1007,37,12620.9,87293.32
CAM005,2025-11-27,40699,768,33,11395.76,66011.99
CAM005,2025-11-28,39872,750,30,11164.33,80414.65
CAM005,2025-11-29,38943,840,35,10904.21,78395.16
CAM005,2025-11-30,39750,848,33,11130.24,71851.59
CAM005,2025-12-01,44753,1001,39,12531.06,79421.76
CAM005,2025-12-02,39586,876,33,11084.29,77503.69
CAM005,2025-12-03,46197,894,36,12935.35,87798.93
CAM005,2025-12-04,45047,944,34,12613.44,73882.7
CAM005,2025-12-05,45702,935,40,12796.67,93140.02
CAM006,2025-03-05,19272,1070,105,15418.04,181790.41
CAM006,2025-03-06,16274,902,86,13019.56,169619.14
CAM006,2025-03-07,16191,900,78,12953.44,138143.82
CAM006,2025-03-08,18879,1077,98,15103.58,176051.69
CAM006,2025-03-09,18129,1042,84,14503.42,157837.31
CAM006,2025-03-10,19273,1256,113,15418.57,205844.52
CAM006,2025-03-11,17953,1172,102,14363.18,156356.26
CAM006,2025-03-12,18972,1239,102,15177.95,173787.9
CAM006,2025-03-13,16761,1050,98,13409.21,198328.89
CAM006,2025-03-14,18382,1203,100,14705.81,190749.53
CAM006,2025-03-15,17869,1015,89,14295.29,182722.75
CAM006,2025-03-16,16976,1107,97,13581.15,162451.18
CAM006,2025-03-17,17310,1090,88,13848.37,152526.86
CAM006,2025-03-18,18320,1142,107,14656.09,197241.9
CAM006,2025-03-19,17144,944,86,13715.34,139535.67
CAM006,2025-03-20,16432,1015,83,13145.89,149154.24
CAM006,2025-03-21,16152,976,92,12922.26,188510.45
CAM006,2025-03-22,18340,1174,109,14672.19,169017.91
CAM006,2025-03-23,16471,1059,88,13176.98,172522.08
CAM006,2025-03-24,17874,1056,86,14299.82,149755.98
CAM006,2025-03-25,17655,1140,96,14124.14,180609.39
CAM006,2025-03-26,18791,1082,90,15032.82,158220.64
CAM007,2026-06-16,55064,3801,422,44051.96,991271.8
CAM007,2026-06-17,51475,3347,343,41180.31,722684.94
CAM007,2026-06-18,52728,3384,375,42182.74,834306.22
CAM007,2026-06-19,50613,3229,314,40490.93,764364.51
CAM007,2026-06-20,56762,3592,370,45410.06,792135.26
CAM007,2026-06-21,54865,3750,367,43892.3,779680.19
CAM007,2026-06-22,53761,3498,369,43009.35,868694.58
CAM007,2026-06-23,51174,3461,390,40939.86,974565.2
CAM007,2026-06-24,53817,3904,400,43054.24,999095.84
CAM007,2026-06-25,50688,3180,351,40550.99,761539.79
CAM007,2026-06-26,57047,4199,468,45637.78,1187393.66
CAM008,2025-01-01,61994,2627,216,27897.57,363945.8
CAM008,2025-01-02,58945,2207,166,26525.67,276580.04
CAM008,2025-01-03,59814,2516,200,26916.36,338980.37
CAM008,2025-01-04,59350,2289,197,26707.7,302359.64
CAM008,2025-01-05,53785,2260,171,24203.34,261950.29
CAM008,2025-01-06,59486,2470,181,26768.83,302792.94
CAM008,2025-01-07,62163,2587,228,27973.41,401499.34
CAM008,2025-01-08,61311,2356,188,27589.96,326398.08
CAM008,2025-01-09,52667,2068,155,23700.48,248750.82
CAM008,2025-01-10,57434,2311,196,25845.48,319056.75
CAM008,2025-01-11,57702,2360,207,25966.11,412008.87
CAM008,2025-01-12,57794,2211,183,26007.62,297080.93
CAM008,2025-01-13,53090,2199,180,23890.5,329923.8
CAM008,2025-01-14,61571,2662,197,27707.38,312285.89
CAM008,2025-01-15,60741,2442,210,27333.9,429715.03
CAM008,2025-01-16,57746,2278,187,25985.95,329938.98
CAM008,2025-01-17,57724,2245,163,25975.81,294558.15
CAM008,2025-01-18,55168,2320,178,24825.92,291043.0
CAM009,2026-06-12,43182,2836,269,34545.74,534581.5
CAM009,2026-06-13,47412,2886,246,37930.05,490782.73
CAM009,2026-06-14,44316,2892,234,35453.47,476793.11
CAM009,2026-06-15,40620,2271,188,32496.38,294109.88
CAM009,2026-06-16,47244,2796,248,37795.92,442262.86
CAM009,2026-06-17,46028,3033,268,36822.43,420795.31
CAM009,2026-06-18,41764,2511,209,33411.39,408073.15
CAM009,2026-06-19,42782,2440,208,34225.97,380743.35
CAM009,2026-06-20,47524,2992,283,38019.58,563842.67
CAM009,2026-06-21,46116,2562,236,36893.52,485148.75
CAM010,2025-07-11,27493,1178,100,12372.12,241323.52
CAM010,2025-07-12,26164,1155,83,11774.08,204255.33
CAM010,2025-07-13,27695,1179,102,12463.06,244526.48
CAM010,2025-07-14,23700,899,72,10665.01,194780.98
CAM010,2025-07-15,28718,1229,93,12923.23,201058.68
CAM010,2025-07-16,25229,1069,84,11353.08,192362.63
CAM010,2025-07-17,25207,935,72,11343.24,179667.85
CAM010,2025-07-18,25551,973,81,11498.38,218164.1
CAM010,2025-07-19,26104,1045,87,11747.05,187287.43
CAM010,2025-07-20,24272,907,75,10922.74,198267.62
CAM010,2025-07-21,24799,990,77,11159.58,175802.16
CAM010,2025-07-22,25368,951,77,11415.98,163592.9
CAM010,2025-07-23,23565,962,77,10604.5,169466.77
CAM010,2025-07-24,27923,1097,81,12565.59,189089.81
CAM010,2025-07-25,26968,1071,90,12136.03,212751.44
CAM011,2026-07-31,23278,1653,174,18623.03,337630.94
CAM011,2026-08-01,20839,1464,150,16671.49,310034.06
CAM011,2026-08-02,21902,1375,132,17521.97,341131.29
CAM011,2026-08-03,21822,1649,174,17458.38,420867.68
CAM011,2026-08-04,20672,1443,156,16538.06,299049.94
CAM011,2026-08-05,21143,1555,147,16915.03,289080.8
CAM011,2026-08-06,20532,1287,121,16426.0,296928.09
CAM011,2026-08-07,20747,1322,134,16598.28,298278.22
CAM011,2026-08-08,21430,1528,146,17144.02,305640.92
CAM011,2026-08-09,20097,1439,158,16077.92,339582.64
CAM011,2026-08-10,21484,1370,143,17187.46,354269.19
CAM012,2025-11-15,81566,2982,224,36705.02,600418.4
CAM012,2025-11-16,94766,3947,338,42645.07,771704.97
CAM012,2025-11-17,84588,3470,268,38064.63,726256.76
CAM012,2025-11-18,82445,3562,315,37100.48,812880.81
CAM012,2025-11-19,92999,3725,312,41849.57,768296.4
CAM012,2025-11-20,78400,2901,246,35280.25,624033.25
CAM012,2025-11-21,93594,3840,278,42117.73,662157.45
CAM012,2025-11-22,79143,2871,218,35614.62,450644.56
CAM013,2026-02-09,59665,2654,266,26849.49,717031.87
CAM013,2026-02-10,56978,2602,245,25640.54,690507.33
CAM013,2026-02-11,63390,3198,328,28525.8,898993.43
CAM013,2026-02-12,66769,2975,301,30046.49,892027.72
CAM013,2026-02-13,63049,3162,293,28372.38,966073.38
CAM013,2026-02-14,64113,3114,285,28851.03,748608.15
CAM013,2026-02-15,58240,2484,233,26208.14,612199.4
CAM013,2026-02-16,57216,2676,270,25747.23,786941.36
CAM013,2026-02-17,58766,2892,261,26445.08,700396.43
CAM013,2026-02-18,62882,2970,253,28297.0,829197.09
CAM013,2026-02-19,60224,2908,252,27100.84,712587.45
CAM013,2026-02-20,65651,2827,278,29543.22,768912.91
CAM013,2026-02-21,65787,3338,329,29604.17,1131183.82
CAM013,2026-02-22,64675,3281,287,29103.75,746358.44
CAM014,2026-04-21,83012,1696,65,24903.67,121900.15
CAM014,2026-04-22,82595,1670,61,24778.59,93216.4
CAM014,2026-04-23,78413,1575,61,23523.97,99337.23
CAM014,2026-04-24,88461,1943,70,26538.54,131576.47
CAM014,2026-04-25,80774,1542,61,24232.45,102302.56
CAM014,2026-04-26,74053,1594,59,22216.09,113522.79
CAM014,2026-04-27,87246,1737,67,26174.05,110618.68
CAM014,2026-04-28,77593,1557,58,23277.96,107509.37
CAM014,2026-04-29,76163,1411,61,22848.91,96392.87
CAM014,2026-04-30,80748,1693,73,24224.68,122141.5
CAM014,2026-05-01,87738,1690,64,26321.66,115098.56
CAM014,2026-05-02,82799,1710,65,24839.84,94226.69
CAM014,2026-05-03,88502,1642,63,26550.78,119055.51
CAM014,2026-05-04,84966,1852,73,25489.81,105635.01
CAM014,2026-05-05,86062,1602,62,25818.82,105765.92
CAM014,2026-05-06,81671,1556,64,24501.53,96846.65
CAM014,2026-05-07,85243,1577,69,25573.16,121300.8
CAM015,2025-09-04,20263,1510,155,16210.65,366199.44
CAM015,2025-09-05,22735,1678,167,18188.15,417650.63
CAM015,2025-09-06,19868,1500,141,15894.5,327091.99
CAM015,2025-09-07,22102,1462,159,17682.11,433419.51
CAM015,2025-09-08,22460,1576,157,17968.66,429409.44
CAM015,2025-09-09,21737,1623,153,17390.07,317403.43
CAM015,2025-09-10,21714,1401,138,17371.9,375589.47
CAM015,2025-09-11,20782,1426,141,16625.85,359952.41
CAM015,2025-09-12,20698,1466,152,16558.88,365826.05
CAM015,2025-09-13,21933,1464,160,17546.69,438830.33
CAM016,2025-04-03,139279,3291,147,41783.83,254750.98
CAM016,2025-04-04,115985,2567,112,34795.8,209407.76
CAM016,2025-04-05,128071,2803,133,38421.46,227834.35
CAM016,2025-04-06,126008,3091,132,37802.45,208569.76
CAM016,2025-04-07,139212,3424,148,41763.64,269492.08
CAM016,2025-04-08,133742,3187,147,40122.71,230421.23
CAM016,2025-04-09,126927,3172,140,38078.17,235278.47
CAM016,2025-04-10,128372,3227,158,38511.89,231973.88
CAM016,2025-04-11,117575,2542,108,35272.53,179390.44
CAM016,2025-04-12,117600,2664,123,35280.07,179544.13
CAM017,2025-07-26,15152,586,38,12122.31,49033.74
CAM017,2025-07-27,15371,665,38,12297.0,46320.28
CAM017,2025-07-28,15346,596,38,12276.84,58019.74
CAM017,2025-07-29,14875,567,35,11900.26,45643.08
CAM017,2025-07-30,17436,758,50,13949.29,57534.42
CAM017,2025-07-31,14643,571,37,11714.47,52211.39
CAM017,2025-08-01,15842,730,50,12674.1,59055.97
CAM017,2025-08-02,15912,650,37,12729.69,49867.66
CAM017,2025-08-03,17068,673,44,13654.8,57630.63
CAM017,2025-08-04,17515,666,41,14012.17,57960.36
CAM018,2025-11-22,36268,1422,104,16321.0,253483.45
CAM018,2025-11-23,32744,1276,100,14734.86,273544.65
CAM018,2025-11-24,33864,1280,104,15239.03,278226.53
CAM018,2025-11-25,35748,1371,112,16086.97,267823.71
CAM018,2025-11-26,34042,1436,104,15319.15,254413.04
CAM018,2025-11-27,35655,1317,113,16045.01,249444.14
CAM018,2025-11-28,34365,1326,116,15464.61,285463.05
CAM018,2025-11-29,36537,1595,136,16442.0,324639.49
CAM018,2025-11-30,32341,1252,98,14553.5,213018.25
CAM018,2025-12-01,32234,1340,101,14505.41,230108.66
CAM018,2025-12-02,34654,1332,112,15594.66,231503.51
CAM018,2025-12-03,31065,1141,89,13979.3,215591.75
CAM018,2025-12-04,35092,1363,113,15791.62,285329.71
CAM018,2025-12-05,32039,1165,95,14417.67,256175.89
CAM018,2025-12-06,37295,1492,123,16782.78,288947.61
CAM018,2025-12-07,36547,1428,106,16446.56,281103.36
CAM018,2025-12-08,33455,1336,108,15054.86,273863.27
CAM019,2025-02-24,50172,1372,68,16055.07,118411.0
CAM019,2025-02-25,58462,1688,79,18708.05,111798.71
CAM019,2025-02-26,50456,1421,73,16146.04,105265.55
CAM019,2025-02-27,51812,1512,77,16579.97,104830.44
CAM019,2025-02-28,52241,1596,84,16717.34,135499.58
CAM019,2025-03-01,54011,1706,79,17283.76,103228.56
CAM019,2025-03-02,51404,1385,76,16449.33,111413.56
CAM019,2025-03-03,50998,1610,78,16319.67,134559.72
CAM019,2025-03-04,57566,1614,84,18421.25,145859.84
CAM019,2025-03-05,56544,1573,84,18094.14,109701.58
CAM019,2025-03-06,53292,1449,71,17053.5,100536.82
CAM019,2025-03-07,48417,1320,61,15493.76,106652.71
CAM019,2025-03-08,51142,1421,79,16365.53,109700.74
CAM020,2025-09-22,93289,2159,87,29852.67,142200.58
CAM020,2025-09-23,93521,2125,95,29926.81,168097.44
CAM020,2025-09-24,88860,2059,94,28435.41,156978.09
CAM020,2025-09-25,86561,1983,94,27699.8,153753.86
CAM020,2025-09-26,97553,2310,93,31217.18,150312.79
CAM020,2025-09-27,91434,2199,91,29259.19,168465.89
CAM020,2025-09-28,86747,2008,98,27759.11,197011.59
CAM020,2025-09-29,89530,2422,111,28649.69,186833.09
CAM020,2025-09-30,93390,2197,93,29885.05,142507.59
CAM020,2025-10-01,82415,1882,88,26372.85,177879.77
CAM020,2025-10-02,87705,2038,99,28065.71,171625.1
CAM020,2025-10-03,90456,2345,97,28946.1,196835.76
CAM020,2025-10-04,97457,2487,114,31186.35,185245.19
CAM021,2026-03-15,38782,529,13,11634.66,20713.69
CAM021,2026-03-16,35871,462,11,10761.45,18450.66
CAM021,2026-03-17,38505,496,14,11551.7,25358.99
CAM021,2026-03-18,40413,564,16,12123.99,26665.69
CAM021,2026-03-19,40638,538,14,12191.66,24137.6
CAM021,2026-03-20,39133,505,14,11740.16,23843.91
CAM021,2026-03-21,35336,492,13,10600.88,20876.03
CAM021,2026-03-22,34255,496,14,10276.51,20648.74
CAM021,2026-03-23,38830,533,15,11649.13,27386.78
CAM021,2026-03-24,38151,552,15,11445.49,22080.31
CAM021,2026-03-25,36821,539,14,11046.48,21506.51
CAM021,2026-03-26,40044,607,15,12013.47,24715.95
CAM021,2026-03-27,35861,536,13,10758.54,21301.84
CAM022,2025-06-07,29999,1258,100,13499.67,190145.91
CAM022,2025-06-08,31246,1289,110,14061.03,208415.5
CAM022,2025-06-09,27685,1182,103,12458.31,158847.54
CAM022,2025-06-10,28044,1076,85,12619.92,154789.78
CAM022,2025-06-11,27218,1173,87,12248.34,161728.14
CAM022,2025-06-12,26363,978,84,11863.46,146748.96
CAM022,2025-06-13,27181,1098,95,12231.84,169452.27
CAM022,2025-06-14,31432,1226,108,14144.64,209437.47
CAM022,2025-06-15,31241,1170,87,14058.5,154052.26
CAM022,2025-06-16,30361,1158,88,13662.85,145309.46
CAM022,2025-06-17,26302,984,85,11836.03,156033.97
CAM022,2025-06-18,26190,1090,79,11785.76,133557.98
CAM022,2025-06-19,28958,1172,97,13031.13,151567.19
CAM022,2025-06-20,30526,1142,83,13736.75,160912.78
CAM022,2025-06-21,26576,1049,87,11959.24,140105.58
CAM023,2025-02-01,48023,2272,194,21610.75,910763.11
CAM023,2025-02-02,55192,2462,240,24836.7,1062268.79
CAM023,2025-02-03,47876,2211,198,21544.63,786898.21
CAM023,2025-02-04,47508,2347,222,21378.95,946770.04
CAM023,2025-02-05,56399,2787,282,25379.87,1284335.81
CAM023,2025-02-06,56931,2802,265,25619.28,1060011.05
CAM023,2025-02-07,49271,2304,205,22172.26,900684.33
CAM023,2025-02-08,57878,2489,233,26045.36,1119183.62
CAM023,2025-02-09,52835,2724,237,23775.9,985034.96
CAM023,2025-02-10,47570,2247,230,21406.62,1054807.95
CAM023,2025-02-11,53963,2740,238,24283.45,1098094.72
CAM024,2026-01-03,31552,1116,66,10096.72,121490.14
CAM024,2026-01-04,30583,1130,63,9786.6,104693.09
CAM024,2026-01-05,28766,1030,60,9205.42,117135.71
CAM024,2026-01-06,26830,926,52,8585.67,103116.96
CAM024,2026-01-07,29860,946,54,9555.28,100856.09
CAM024,2026-01-08,28604,870,48,9153.42,80343.26
CAM024,2026-01-09,28027,1011,67,8968.74,102776.83
CAM024,2026-01-10,31452,1044,58,10064.95,115897.47
CAM024,2026-01-11,27632,986,61,8842.28,100262.29
CAM024,2026-01-12,30087,926,55,9628.13,87042.84
CAM024,2026-01-13,29641,1050,63,9485.17,111132.95
CAM024,2026-01-14,28022,892,51,8967.35,99122.44
CAM024,2026-01-15,28047,1015,61,8975.34,101045.04
CAM024,2026-01-16,31941,1126,66,10221.29,123311.92
CAM024,2026-01-17,29085,947,53,9307.41,98664.6
CAM024,2026-01-18,28423,873,49,9095.63,87892.79
CAM025,2026-03-31,45903,2716,260,36723.07,562244.31
CAM025,2026-04-01,53697,3343,305,42957.64,552459.98
CAM025,2026-04-02,47934,2599,250,38347.72,419948.8
CAM025,2026-04-03,49213,3131,309,39370.5,626922.98
CAM025,2026-04-04,48341,2756,257,38673.21,549098.97
CAM025,2026-04-05,51107,3270,299,40885.98,613594.22
CAM025,2026-04-06,48843,2848,280,39074.64,601647.48
CAM025,2026-04-07,49099,3120,260,39279.62,531958.47
CAM025,2026-04-08,51201,2907,267,40960.86,529015.84
CAM026,2026-05-08,45607,1089,53,13682.13,100778.86
CAM026,2026-05-09,48924,1234,53,14677.23,106881.82
CAM026,2026-05-10,46042,1060,48,13812.78,97485.32
CAM026,2026-05-11,50114,1054,52,15034.46,110056.8
CAM026,2026-05-12,43230,956,44,12969.14,83143.15
CAM026,2026-05-13,47856,1138,47,14356.87,101661.03
CAM026,2026-05-14,45671,1129,53,13701.59,116511.7
CAM026,2026-05-15,43916,1034,44,13174.94,81079.06
CAM026,2026-05-16,50294,1110,53,15088.48,111588.24
CAM026,2026-05-17,43101,1059,50,12930.52,98745.1
CAM026,2026-05-18,49478,1175,56,14843.61,100799.44
CAM026,2026-05-19,47290,1181,50,14187.13,104690.32
CAM026,2026-05-20,48322,1141,49,14496.73,112554.4
CAM026,2026-05-21,44615,1087,50,13384.52,97452.54
CAM026,2026-05-22,49517,1141,51,14855.26,98452.29
CAM026,2026-05-23,47315,1042,51,14194.6,110094.94
CAM026,2026-05-24,48149,1080,46,14444.76,83235.3
CAM026,2026-05-25,47875,1033,50,14362.74,105340.12
CAM026,2026-05-26,50607,1110,51,15182.38,106057.61
CAM026,2026-05-27,45428,1101,48,13628.46,110714.98
CAM026,2026-05-28,44516,1031,46,13354.88,103364.58
CAM026,2026-05-29,48151,1039,51,14445.48,113679.36
CAM027,2025-01-08,118155,2610,112,33083.66,272891.92
CAM027,2025-01-09,105656,2193,82,29583.86,182147.88
CAM027,2025-01-10,120075,2591,111,33621.07,271257.22
CAM027,2025-01-11,123436,2651,112,34562.28,235503.88
CAM027,2025-01-12,118177,2678,105,33089.62,253250.89
CAM027,2025-01-13,110788,2429,101,31020.82,191486.54
CAM027,2025-01-14,118115,2556,99,33072.23,232395.16
CAM027,2025-01-15,121984,2576,106,34155.73,214281.66
CAM027,2025-01-16,111015,2076,83,31084.21,171388.26
CAM027,2025-01-17,105329,2057,90,29492.2,213394.98
CAM027,2025-01-18,111222,2360,95,31142.41,224778.35
CAM027,2025-01-19,108703,2347,94,30436.96,190762.71
CAM027,2025-01-20,104170,2343,85,29167.81,182417.22
CAM027,2025-01-21,111629,2363,86,31256.25,170794.08
CAM027,2025-01-22,111229,2102,80,31144.15,181725.64
CAM028,2026-01-12,35909,2104,173,28727.84,387021.49
CAM028,2026-01-13,38695,2452,234,30956.13,488778.83
CAM028,2026-01-14,37663,2437,228,30130.99,491894.37
CAM028,2026-01-15,38170,2513,224,30536.09,492352.0
CAM028,2026-01-16,38975,2414,196,31180.26,486870.13
CAM028,2026-01-17,37400,2202,205,29920.03,522674.55
CAM028,2026-01-18,32698,1896,160,26158.4,392612.87
CAM028,2026-01-19,34558,2270,202,27646.82,387778.81
CAM028,2026-01-20,38475,2259,218,30780.2,455878.58
CAM028,2026-01-21,35086,1989,180,28068.97,348428.92
CAM028,2026-01-22,33627,1924,181,26902.4,433395.27
CAM028,2026-01-23,32741,1852,171,26192.88,361739.66
CAM028,2026-01-24,37892,2136,195,30314.06,401029.03
CAM028,2026-01-25,34360,2106,205,27488.04,497943.41
CAM028,2026-01-26,37158,2154,201,29726.43,460675.8
CAM029,2025-06-02,55570,2186,174,25006.86,488686.4
CAM029,2025-06-03,62839,2440,192,28277.68,579774.47
CAM029,2025-06-04,65771,2712,206,29597.01,599678.26
CAM029,2025-06-05,59228,2241,192,26653.03,500894.06
CAM029,2025-06-06,63265,2480,197,28469.68,620297.14
CAM029,2025-06-07,65488,2554,185,29469.68,603540.26
CAM029,2025-06-08,55320,2385,188,24894.36,485223.59
CAM029,2025-06-09,59995,2585,216,26997.78,726382.66
CAM029,2025-06-10,54619,2180,185,24578.82,618179.37
CAM029,2025-06-11,63033,2581,226,28365.09,577377.06
CAM029,2025-06-12,57461,2110,164,25857.72,562432.12
CAM029,2025-06-13,59960,2622,203,26982.29,539981.43
CAM029,2025-06-14,64964,2778,221,29234.22,699418.89
CAM030,2025-01-17,31474,765,33,10071.94,91323.76
CAM030,2025-01-18,32188,856,37,10300.33,88907.97
CAM030,2025-01-19,30601,824,40,9792.52,111207.38
CAM030,2025-01-20,31279,767,34,10009.31,87412.52
CAM030,2025-01-21,32868,768,37,10517.99,87807.95
CAM030,2025-01-22,29386,799,33,9403.73,90020.99
CAM030,2025-01-23,28719,689,30,9190.16,85574.45
CAM030,2025-01-24,30669,697,32,9814.34,82566.26
CAM030,2025-01-25,31473,796,38,10071.39,105961.35
CAM030,2025-01-26,33003,890,42,10561.11,102745.57
CAM030,2025-01-27,29146,798,37,9326.82,86856.66
CAM030,2025-01-28,29269,680,28,9366.36,66620.63
CAM030,2025-01-29,30002,746,34,9600.92,96147.85
CAM030,2025-01-30,28712,754,34,9188.07,91126.44
CAM030,2025-01-31,33199,820,35,10623.72,106154.26
CAM030,2025-02-01,27805,707,30,8897.7,89999.35
CAM030,2025-02-02,29395,800,34,9406.61,81908.67
CAM030,2025-02-03,30665,840,35,9813.09,96688.05
CAM030,2025-02-04,29141,754,32,9325.37,86789.09
CAM030,2025-02-05,32725,750,36,10472.14,101169.51
CAM031,2025-09-10,31429,1862,168,25143.56,450873.26
CAM031,2025-09-11,29530,1707,149,23624.3,463349.02
CAM031,2025-09-12,33539,2174,178,26831.48,638204.23
CAM031,2025-09-13,31579,1776,159,25263.37,439310.79
CAM031,2025-09-14,32067,1965,182,25653.8,504604.1
CAM031,2025-09-15,34336,2089,170,27468.98,557982.5
CAM031,2025-09-16,30796,1675,143,24636.9,388110.46
CAM031,2025-09-17,32454,2026,190,25963.83,666638.69
CAM031,2025-09-18,31130,1739,151,24904.58,413181.52
CAM031,2025-09-19,31600,1734,166,25280.36,589852.59
CAM031,2025-09-20,31104,1886,185,24883.96,640018.3
CAM031,2025-09-21,31495,1822,161,25196.51,479500.84
CAM031,2025-09-22,29671,1621,143,23736.81,446387.3
CAM031,2025-09-23,31158,1905,172,24927.16,566034.03
CAM031,2025-09-24,30361,1777,147,24289.09,404243.47
CAM031,2025-09-25,30145,1861,161,24116.27,559493.15
CAM031,2025-09-26,34264,2107,182,27411.58,610223.74
CAM031,2025-09-27,31085,1874,155,24868.36,492611.47
CAM032,2025-02-19,54222,1048,46,15182.33,116826.3
CAM032,2025-02-20,60201,1348,55,16856.48,157249.86
CAM032,2025-02-21,53206,1085,40,14897.71,132391.91
CAM032,2025-02-22,60412,1126,41,16915.45,116181.72
CAM032,2025-02-23,55314,1100,47,15488.07,151312.31
CAM032,2025-02-24,61823,1327,53,17310.49,138757.48
CAM032,2025-02-25,52137,1148,47,14598.62,148747.49
CAM032,2025-02-26,57692,1224,49,16153.87,159539.11
CAM032,2025-02-27,56040,1264,54,15691.3,167339.76
CAM032,2025-02-28,51182,1098,40,14331.07,129739.43
CAM032,2025-03-01,58673,1255,54,16428.58,175312.08
CAM032,2025-03-02,61335,1286,53,17173.83,160105.9
CAM032,2025-03-03,58444,1183,44,16364.37,129711.33
